instrument,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
USDRUBF,99,2.65983824581,0.607991880223,60.191196142,-10.3356865376,5.82362825375,0.484848484848,1258.48484848,5,4,0.567888139843,1.94827937111
CNYRUBF,91,2.12917810002,0.446156435714,40.60023565,-4.71249049595,8.61545199611,0.472527472527,1286.7032967,5,5,0.549801999844,1.85914072091
