analysis,omitted_period,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
leave_one_quarter_out,2023Q1,174,2.33832561745,0.522759570861,90.9601653297,-8.94922459666,10.1640275476,0.477011494253,1245.86206897,9,8,0.56840143139,1.89854568526
leave_one_quarter_out,2023Q2,163,2.44130911767,0.541631664802,88.2859613628,-8.94922459666,9.86520791932,0.472392638037,1363.25153374,9,6,0.555050000963,1.90180926614
leave_one_quarter_out,2023Q3,158,2.68011075832,0.626522271909,98.9905189616,-8.94922459666,11.0613515051,0.487341772152,1302.72151899,9,8,0.564086451463,2.001036665
leave_one_quarter_out,2023Q4,160,2.07736785691,0.42614193947,68.1827103152,-8.94922459666,7.61883999879,0.4625,1208.0625,7,8,0.573178273837,1.7891742401
leave_one_quarter_out,2024Q1,170,2.60165724879,0.594929030675,101.137935215,-8.372428353,12.0798806452,0.482352941176,1236.88235294,9,8,0.54424897137,1.99492269216
leave_one_quarter_out,2024Q2,169,2.47709806591,0.544692756778,92.0530758954,-6.86381005839,13.4113670268,0.497041420118,1333.84615385,9,8,0.549684944933,1.91289250869
leave_one_quarter_out,2024Q3,168,2.36656185779,0.5344011158,89.7793874544,-8.94922459666,10.0320856276,0.470238095238,1223.57142857,9,8,0.562862410121,1.92948691876
leave_one_quarter_out,2024Q4,168,2.20981735213,0.453275404823,76.1502680103,-8.94922459666,8.50914704261,0.482142857143,1264.28571429,9,8,0.557030992384,1.81599534707
leave_one_year_out,2023,85,2.26680883573,0.51817718345,44.0450605932,-8.94922459666,4.92166221972,0.447058823529,1330.23529412,4,6,0.605299516156,1.8422251891
leave_one_year_out,2024,105,2.51524312743,0.540441630465,56.7463711988,-6.86381005839,8.26747400001,0.504761904762,1224.85714286,9,8,0.521928085304,1.9568792597
