month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
2023-01,2,,1.35185199569,2.70370399137,0,,1,1065,2,0,0.267468678217,2.89448425972
2023-02,8,4.25382924142,0.853287738632,6.82630190906,-1.74800840596,3.90518826212,0.375,1072.5,2,4,0.345271082982,2.24891046211
2023-03,6,1.13977794964,0.0502100936436,0.301260561862,-1.04292684584,0.288860683818,0.5,2365,1,1,0.675658791346,1.32237698193
2023-04,10,3.79099223801,1.05083420809,10.5083420809,-3.76509183287,2.79099223801,0.6,858,6,4,0.584449406198,2.61520881202
2023-05,10,1.72313447139,0.30595164044,3.0595164044,-3.09871822552,0.987349020377,0.4,789,3,4,0.575083057654,1.63316636464
2023-06,7,0.642154360077,-0.1517697223,-1.0623880561,-2.96884448929,-0.357845639923,0.571428571429,428.571428571,4,3,0.597776147811,1.36897159933
2023-07,5,1.57315184355,0.203978897142,1.01989448571,-1.01456941145,1.00524860517,0.6,1842,2,1,0.473814852584,1.82457887359
2023-08,20,0.94979075653,-0.0200718482046,-0.401436964091,-2.81279438858,-0.14271820426,0.45,1020,3,4,0.550091685503,1.32934781419
2023-09,7,1.33544052932,0.168922186973,1.18245530881,-2.16848936857,0.545289880571,0.285714285714,891.428571429,2,3,0.53662007516,1.45540280293
2023-10,15,6.24085747759,0.87787348549,13.1681022824,-2.07738727986,6.33878064528,0.666666666667,1774,6,2,0.420202847192,2.25515728521
2023-11,8,3.86864823083,0.923753733144,7.39002986515,-1.96789220013,3.75530217796,0.5,903.75,3,3,0.443811174134,2.50009566097
2023-12,7,4.13510978031,1.72151276133,12.0505893293,-3.83818369405,3.1396593519,0.428571428571,2078.57142857,2,3,0.670121702188,3.13792290867
2024-01,8,3.14941607051,0.508559564372,4.06847651497,-1.06865414327,3.80710311246,0.625,2340,3,2,0.629491077923,1.67686157135
2024-02,11,0.14716766484,-0.556684090621,-6.12352499683,-6.12352499683,-1,0.272727272727,998.181818182,2,5,0.767367077064,0.597728278078
2024-03,1,,1.70854505912,1.70854505912,0,,1,1710,1,0,0.253616226175,2.93470204574
2024-04,10,0.709756331694,-0.165358541517,-1.65358541517,-4.53424465895,-0.364688176213,0.4,531,2,3,0.733919530502,1.11779174731
2024-05,5,0.200798241351,-0.386114643519,-1.9305732176,-1.9305732176,-1,0.2,516,1,3,0.508291535948,1.10781290353
2024-06,6,7.90036834709,2.05375242156,12.3225145294,-0.934308229924,13.188917891,0.333333333333,1395,2,3,0.579249858616,3.67760789712
2024-07,4,1.07626112003,0.0353168922689,0.141267569076,-1.85241928027,0.0762611200285,0.25,892.5,1,3,0.658490195603,1.2655880295
2024-08,5,2.66162133121,0.675323183261,3.37661591631,-2.03212118963,1.66162133121,0.6,714,2,2,0.471765196939,2.00227466741
2024-09,13,3.84188257456,0.576473911714,7.49416085228,-1.08364306619,6.91570968902,0.615384615385,2229.23076923,4,2,0.515325858671,1.7564565796
2024-10,5,5.7399402578,1.23815300774,6.19076503872,-1.30608503525,4.7399402578,0.4,1038,1,3,0.455381804477,2.38134140044
2024-11,12,4.26316276678,1.39244408841,16.709329061,-3.09061154871,5.40647984957,0.5,1400,2,4,0.574117410031,3.04904048631
2024-12,5,1.61120849179,0.348213936406,1.74106968203,-2.84856919598,0.611208491787,0.4,1458,2,3,0.701076633394,1.69581043941
