version,candidate_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
baseline,T3_candidate_v1,235,2.00268933089,0.425920854549,100.091400819,-17.8646979833,5.60274799564,0.43829787234,1186.59574468,6,8,0.584906120376,1.79042483364
candidate,T3_M30_candidate_v1,190,2.39563875011,0.530481219958,100.791431792,-8.94922459666,11.2625882503,0.478947368421,1272,9,8,0.559225830685,1.90558664917
