direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
LONG,122,2.16026905683,0.463334954122,56.5268644028,-8.52790019543,6.62846223659,0.475409836066,1369.67213115,7,7,0.582674679971,1.81662733119
SHORT,68,2.883590673,0.650949520429,44.2645673892,-3.51937955567,12.5773781114,0.485294117647,1096.76470588,9,6,0.517155836379,2.06519013143
