outcome_group,dimension,category,trades,win_rate,PF,expectancy_R,net_R,average_R,median_R,max_drawdown_contribution_R,average_holding_time
early_failure,candle_quality,weak_body,9,0,0,-0.818315753285,-7.36484177956,-0.818315753285,-1.01346954533,-7.36484177956,58.3333333333
early_failure,candle_quality,long_wick,80,0,0,-0.910130439393,-72.8104351515,-0.910130439393,-1.01822782841,-72.8104351515,30.6875
early_failure,candle_quality,neutral,64,0,0,-0.856185145536,-54.7958493143,-0.856185145536,-0.919873799455,-54.7958493143,36.484375
early_failure,instrument,USDRUBF,200,0,0,-0.833415940086,-166.683188017,-0.833415940086,-1.00852618368,-166.683188017,39.75
early_failure,instrument,CNYRUBF,170,0,0,-0.951643461717,-161.779388492,-0.951643461717,-1.05056223593,-161.779388492,70.6176470588
early_failure,session,Session_A,25,0,0,-0.931903584306,-23.2975896077,-0.931903584306,-1.02273074928,-23.2975896077,15.8
early_failure,session,Session_B,245,0,0,-0.87610299964,-214.645234912,-0.87610299964,-1.01178169254,-214.645234912,36.0612244898
early_failure,session,Session_C,100,0,0,-0.905197519895,-90.5197519895,-0.905197519895,-1.01290643626,-90.5197519895,107.25
early_failure,instrument_session,USDRUBF|Session_A,15,0,0,-0.95056344778,-14.2584517167,-0.95056344778,-1.02102648573,-14.2584517167,18.6666666667
early_failure,instrument_session,USDRUBF|Session_B,129,0,0,-0.820325702124,-105.822015574,-0.820325702124,-1.00828743168,-105.822015574,33.6434108527
early_failure,instrument_session,USDRUBF|Session_C,56,0,0,-0.832191441544,-46.6027207265,-0.832191441544,-1.00749025604,-46.6027207265,59.4642857143
early_failure,instrument_session,CNYRUBF|Session_A,10,0,0,-0.903913789096,-9.03913789096,-0.903913789096,-1.03668185264,-9.03913789096,11.5
early_failure,instrument_session,CNYRUBF|Session_B,116,0,0,-0.938131201188,-108.823219338,-0.938131201188,-1.05056223593,-108.823219338,38.75
early_failure,instrument_session,CNYRUBF|Session_C,44,0,0,-0.998114346887,-43.917031263,-0.998114346887,-1.06269720871,-43.917031263,168.068181818
early_failure,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
fast_failure,ALL,ALL,239,0,0,-0.959776499279,-229.386583328,-0.959776499279,-1.02072887632,-229.386583328,13.9330543933
