direction,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
LONG,93,0.9867375081,-0.00677696234802,-0.630257498366,-11.7797891489,-0.0535032919858,0.408602150538,5,7
SHORT,117,1.26264356568,0.125764360222,14.7144301459,-7.16929282725,2.05242420703,0.393162393162,4,9
