trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,fold,fold_start_state
GD-000002,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2024-01-29 18:00:00+03:00,2024-01-29 19:30:00+03:00,2024-01-29 19:30:00+03:00,2144.03871964,2138.58301542,5.45570421381,5455.70421381,2024-01-30 14:30:00+03:00,2146.32691907,ATR_TRAILING_STOP,21,0.419414128874,0.000366588788838,0.419047540085,0.322854817492,1.99410328451,2024-01-29 17:30:00+03:00,3,183.461214155,WF01,FLAT
GD-000003,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2024-02-01 18:30:00+03:00,2024-02-01 19:00:00+03:00,2024-02-01 19:00:00+03:00,2153.57100409,2143.78939794,9.78160614701,9781.60614701,2024-02-02 12:00:00+03:00,2157.11654537,ATR_TRAILING_STOP,17,0.362470255708,0.000204465398621,0.362265790309,0,1.40880419189,2024-02-01 18:00:00+03:00,1,102.754536756,WF01,FLAT
GD-000004,T2_Trend_Pullback_Continuation_v1.0,GD,SHORT,2024-02-05 18:30:00+03:00,2024-02-05 19:00:00+03:00,2024-02-05 19:00:00+03:00,2126.42471575,2132.80079409,6.37607834033,6376.07834033,2024-02-05 21:00:00+03:00,2132.80079409,INITIAL_STOP,4,-1,0.000313672432058,-1.00031367243,0.812504034715,0,2024-02-05 17:30:00+03:00,1,158.207836221,WF01,FLAT
NG-000004,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2024-02-07 16:00:00+03:00,2024-02-07 17:30:00+03:00,2024-02-07 17:30:00+03:00,4.45665108455,4.50530250535,0.0486514208058,48.6514208058,2024-02-09 16:30:00+03:00,4.1126425834,ATR_TRAILING_STOP,60,7.07088293514,0.0411087686006,7.02977416654,0.267456114115,9.04893186087,2024-02-07 15:00:00+03:00,3,20398.6431591,WF01,FLAT
BR-000003,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2024-02-09 17:00:00+03:00,2024-02-09 17:30:00+03:00,2024-02-09 17:30:00+03:00,55.9556750427,55.4481975981,0.507477444605,507.477444605,2024-02-09 20:00:00+03:00,55.5870261209,ATR_TRAILING_STOP,5,-0.726434102028,0.00394106185657,-0.730375163884,0.657121992939,0.335266322928,2024-02-09 14:00:00+03:00,1,1976.28184936,WF01,FLAT
CNY-000004,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-02-09 14:30:00+03:00,2024-02-09 15:00:00+03:00,2024-02-09 15:00:00+03:00,15.2047256843,15.2655213605,0.0607956761806,60.7956761806,2024-02-10 00:00:00+03:00,15.2547506906,ATR_TRAILING_STOP,18,-0.822838226389,0.0328970763325,-0.855735302721,0.969439128672,0.178060248123,2024-02-09 14:00:00+03:00,1,16125.6118318,WF01,FLAT
NG-000005,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2024-02-09 18:00:00+03:00,2024-02-09 19:00:00+03:00,2024-02-09 19:00:00+03:00,4.0662874859,4.16542702191,0.0991395360094,99.1395360094,2024-02-12 13:30:00+03:00,4.03029096485,ATR_TRAILING_STOP,20,0.363089464614,0.020173586447,0.342915878167,0.50312715964,1.33438072774,2024-02-09 16:00:00+03:00,2,10714.0713854,WF01,FLAT
NG-000006,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2024-02-12 16:00:00+03:00,2024-02-12 17:00:00+03:00,2024-02-12 17:00:00+03:00,4.01423900608,4.08532393779,0.0710849317137,71.0849317137,2024-02-12 18:00:00+03:00,4.08532393779,INITIAL_STOP,2,-1,0.0281353579695,-1.02813535797,0.762709693483,0.0305083877393,2024-02-12 15:30:00+03:00,2,14993.761009,WF01,FLAT
MIX-000002,T2_Trend_Pullback_Continuation_v1.0,MIX,SHORT,2024-02-19 13:00:00+03:00,2024-02-19 14:00:00+03:00,2024-02-19 14:00:00+03:00,459548.781907,460180.627605,631.845698312,631845.698312,2024-02-19 14:30:00+03:00,460180.627605,INITIAL_STOP,1,-1,3.16532977172e-06,-1.00000316533,0,0,2024-02-19 12:00:00+03:00,2,1.59022617914,WF01,FLAT
CNY-000005,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-02-19 16:00:00+03:00,2024-02-19 16:30:00+03:00,2024-02-19 16:30:00+03:00,15.4958057899,15.4510797491,0.044726040849,44.726040849,2024-02-20 10:30:00+03:00,15.4933148332,ATR_TRAILING_STOP,19,-0.0556936570594,0.0447166787409,-0.1004103358,0.242035578827,1.18328505204,2024-02-19 15:30:00+03:00,1,21731.8167695,WF01,FLAT
