configuration_id,neighbor_count,positive_neighbors,stable_neighbors,classification,expectancy_C1,PF_C1
T3-M30-0000-eb17737ebf56,1,1,1,LOCAL_SPIKE,0.377541806214,1.89702973148
T3-M30-0001-e79c6ccdc36c,1,1,1,LOCAL_SPIKE,0.432455924833,2.0226336743
T3-M30-0002-d9ba4217a7c3,1,1,1,LOCAL_SPIKE,0.377613788895,1.84688192247
T3-M30-0003-9b1e60957d91,2,2,2,ROBUST_PLATEAU,0.431468166867,2.03820065845
T3-M30-0004-ef25bc83a9b8,2,2,2,ROBUST_PLATEAU,0.352854398839,1.82703361278
T3-M30-0005-6e0dd817f5a7,1,1,1,LOCAL_SPIKE,0.267446611187,1.58978900086
T3-M30-0006-8b22fd2c7e81,1,1,1,LOCAL_SPIKE,0.391400332652,1.9118184541
T3-M30-0007-b8b39c21f8a1,1,1,1,LOCAL_SPIKE,0.565629831469,2.12284329959
T3-M30-0008-5dba2bc9137e,1,1,0,LOCAL_SPIKE,0.231232316987,1.72864224577
T3-M30-0009-db103492d13d,2,2,1,LOCAL_SPIKE,0.315386497148,1.83726323257
T3-M30-0010-938b6b3b78f6,12,12,12,ROBUST_PLATEAU,0.425920854549,2.00268933089
T3-M30-0011-76dd2f3526c3,2,2,2,ROBUST_PLATEAU,0.547615368467,2.21598667519
T3-M30-0012-82c674b1e20f,1,1,1,LOCAL_SPIKE,0.663543404698,2.4560923832
T3-M30-0013-4dff97e36238,2,2,2,ROBUST_PLATEAU,0.383296721305,2.14678622451
T3-M30-0014-a750b6d58916,1,1,1,LOCAL_SPIKE,0.326770311744,2.17914407816
T3-M30-0015-924083b3822d,2,2,2,ROBUST_PLATEAU,0.47621294041,2.19011464636
T3-M30-0016-98c3349eff3f,2,2,2,ROBUST_PLATEAU,0.478169246743,2.15151272236
T3-M30-0017-737e6c59a803,1,1,1,LOCAL_SPIKE,0.488341203099,2.17421492528
T3-M30-0018-ab666f9016c3,2,2,2,ROBUST_PLATEAU,0.424477708983,1.97302731898
T3-M30-0019-7507864f8bc2,1,1,1,LOCAL_SPIKE,0.348841688583,1.78984999445
T3-M30-0020-816e9e819790,2,2,2,ROBUST_PLATEAU,0.530481219958,2.39563875011
T3-M30-0021-0912e76c7e11,1,1,0,LOCAL_SPIKE,0.3717663042,1.89295764583
