parameter,value,configurations,positive_C1_share,mean_expectancy_C1,std_expectancy_C1
ema_period,50,1,1,0.391400332652,0
ema_period,75,18,1,0.431405396571,0.101571395129
ema_period,100,1,1,0.431468166867,0
ema_period,150,1,1,0.352854398839,0
ema_period,200,1,1,0.267446611187,0
adx_threshold,15,1,1,0.377541806214,0
adx_threshold,20,19,1,0.417298806182,0.102674645243
adx_threshold,25,1,1,0.530481219958,0
adx_threshold,30,1,1,0.3717663042,0
breakout_period,10,1,1,0.377613788895,0
breakout_period,20,18,1,0.410451637149,0.105966908824
breakout_period,30,1,1,0.47621294041,0
breakout_period,40,1,1,0.478169246743,0
breakout_period,55,1,1,0.488341203099,0
atr_average_period,10,1,1,0.432455924833,0
atr_average_period,20,19,1,0.421194280286,0.105508215649
atr_average_period,30,1,1,0.424477708983,0
atr_average_period,50,1,1,0.348841688583,0
stop_atr,1.5,1,1,0.565629831469,0
stop_atr,2,19,1,0.417514199122,0.0987844902271
stop_atr,2.5,1,1,0.383296721305,0
stop_atr,3,1,1,0.326770311744,0
trail_atr,2,1,1,0.231232316987,0
trail_atr,2.5,1,1,0.315386497148,0
trail_atr,3,18,1,0.413927170029,0.0722393285956
trail_atr,3.5,1,1,0.547615368467,0
trail_atr,4,1,1,0.663543404698,0
