group,trades,MAE_R_mean,MAE_R_median,MFE_R_mean,MFE_R_median
all,67,0.473516016111,0.513002730203,1.51785538905,0.988936085728
winners,21,0.375837021224,0.350475288195,3.55483119779,3.31965198883
losers,46,0.518108600733,0.560836374213,0.587931650282,0.428054836111
