direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,median_R,max_losing_streak,max_winning_streak
LONG,34,0.720350655509,-0.148845944348,-5.06076210784,-6.34813100729,-0.797205051695,0.264705882353,-0.583797162672,8,2
SHORT,33,1.96544376017,0.386485985981,12.7540375374,-3.02429398982,4.21719501487,0.363636363636,-0.310963477938,5,3
