direction,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
LONG,35,2.10316730193,0.532894664951,18.6513132733,-4.10042862044,4.54862527794,0.457142857143,3,5
SHORT,60,1.33639796631,0.173994172017,10.439650321,-13.8873276484,0.751739325616,0.366666666667,4,11
