split,dimension,category,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
train,portfolio,COMBINED,111,1.94376174679,0.461129564406,51.185381649,-10.6129566205,4.82291443181,0.378378378378,95.1801801802,9,0.123147066405,0.429200203143
train,strategy,T2,75,1.99962354246,0.52522790154,39.3920926155,-10.7673331615,3.65848181948,0.36,86.8666666667,10,0.164751682838,0.515587300657
train,strategy,T3,36,1.79530894658,0.327591362043,11.7932890336,-4.75420026477,2.48060417668,0.416666666667,112.5,7,0.408089790467,0.738002469249
train,instrument,USDRUBF,72,1.93510439448,0.3963044873,28.5339230856,-9.30125515956,3.06774973872,0.430555555556,88.2638888889,8,0.128911847743,0.491542979212
train,instrument,CNYRUBF,39,1.9548982126,0.580806629832,22.6514585635,-6.49546169324,3.48727459775,0.282051282051,107.948717949,6,0.279954489114,0.82023667211
train,direction,LONG,65,2.45714344006,0.63021679119,40.9640914274,-7.23068877757,5.66530972187,0.430769230769,114.307692308,8,0.187939966858,0.563610803891
train,direction,SHORT,46,1.39127715441,0.222201961341,10.2212902217,-8.26652690977,1.23646730159,0.304347826087,68.152173913,6,0.29892285207,0.746696941722
test,portfolio,COMBINED,59,1.22243398617,0.127068433085,7.49703755204,-12.0259501239,0.623405009565,0.28813559322,69.3220338983,7,0.155000294943,0.535585257791
test,strategy,T2,43,1.53727736795,0.295049104721,12.687111503,-6.76369089,1.87576749282,0.302325581395,68.7209302326,6,0.17592600406,0.60789158028
test,strategy,T3,16,0.485664901523,-0.324379621934,-5.19007395094,-9.21108095551,-0.563459812807,0.25,70.9375,8,0.434323016701,1
test,instrument,USDRUBF,31,1.40996723509,0.22735291596,7.04794039477,-9.35121240775,0.753692685766,0.290322580645,59.6774193548,7,0.263465884452,0.807085989501
test,instrument,CNYRUBF,28,1.027196453,0.0160391841885,0.449097157277,-4.8923727644,0.0917953677906,0.285714285714,80,6,0.227284223143,0.791412492996
test,direction,LONG,39,0.839417370989,-0.100214171778,-3.90835269933,-10.6135595468,-0.368241463393,0.25641025641,70.3846153846,7,0.218644558521,0.769094203184
test,direction,SHORT,20,2.21774743576,0.570269512569,11.4053902514,-2.67706282831,4.26041187034,0.35,67.25,4,0.30745493601,0.843017640825
