symbol,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
USDRUBF,24,3.6073194579,1.03614707389,24.8675297733,-3.49914217804,7.10675031423,0.458333333333,2,4
CNYRUBF,17,2.98575160524,0.615954653961,10.4712291173,-1.98763400162,5.26818775932,0.470588235294,4,3
GLDRUBF,24,0.974176663187,-0.0131965567452,-0.316717361884,-4.07932157266,-0.0776397144091,0.375,2,4
IMOEXF,20,2.90350425721,0.66422631941,13.2845263882,-2.40346956352,5.52722888187,0.5,2,2
