trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,fold,fold_start_state
GLDRUBF-000004,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-02-21 16:00:00+03:00,2024-02-21 17:00:00+03:00,2024-02-21 17:00:00+03:00,5928.6,5909.23443874,19.3655612606,19365.5612606,2024-02-21 20:00:00+03:00,5909.23443874,INITIAL_STOP,3,-1,0.000103276118522,-1.00010327612,0.43892350372,0.433759697794,2024-02-21 14:00:00+03:00,1,51.6733304294,WF01,FLAT
GLDRUBF-000005,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-02-22 11:00:00+03:00,2024-02-22 12:00:00+03:00,2024-02-22 12:00:00+03:00,5945.2,5914.55648766,30.6435123419,30643.5123419,2024-02-26 20:00:00+03:00,5995,ATR_TRAILING_STOP,24,1.62514007677,6.526666975e-05,1.6250748101,0.48297335615,9.90421713456,2024-02-22 10:00:00+03:00,1,32.329034968,WF01,FLAT
USDRUBF-000004,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-02-29 20:00:00+03:00,2024-02-29 23:00:00+03:00,2024-02-29 23:00:00+03:00,91.18,91.4307868586,0.250786858581,250.786858581,2024-03-01 10:00:00+03:00,91.4307868586,INITIAL_STOP,3,-1,0.00797489952749,-1.00797489953,0.717740957474,0.0398744976375,2024-02-29 19:00:00+03:00,3,4045.32289268,WF01,FLAT
IMOEXF-000003,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-03-05 11:00:00+03:00,2024-03-05 13:00:00+03:00,2024-03-05 13:00:00+03:00,3302.5,3287.81422418,14.6857758191,14685.7758191,2024-03-06 00:00:00+03:00,3299.01322827,ATR_TRAILING_STOP,11,-0.237425095599,0.000136186199805,-0.237561281798,0.272372399611,1.05544304849,2024-03-05 10:00:00+03:00,2,70.170347194,WF01,FLAT
GLDRUBF-000006,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-03-05 20:00:00+03:00,2024-03-05 22:00:00+03:00,2024-03-05 22:00:00+03:00,6170.2,6122.6191292,47.5808707965,47580.8707965,2024-03-06 14:00:00+03:00,6125.21966474,ATR_TRAILING_STOP,8,-0.945344936015,4.20336989744e-05,-0.945386969714,0.922639692489,0.170236480846,2024-03-05 19:00:00+03:00,2,21.1592259247,WF01,FLAT
IMOEXF-000004,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-03-06 12:00:00+03:00,2024-03-06 14:00:00+03:00,2024-03-06 14:00:00+03:00,3311,3296.32643932,14.6735606849,14673.5606849,2024-03-11 18:00:00+03:00,3324.58326737,ATR_TRAILING_STOP,34,0.925696745742,0.000136299569201,0.925560446173,0.340748923003,2.11264332262,2024-03-05 23:00:00+03:00,2,70.0619247696,WF01,FLAT
GLDRUBF-000007,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-03-12 10:00:00+03:00,2024-03-12 13:00:00+03:00,2024-03-12 13:00:00+03:00,6285.2,6253.16727236,32.0327276407,32032.7276407,2024-03-13 11:00:00+03:00,6278.24241551,ATR_TRAILING_STOP,14,-0.217202373909,6.24361441347e-05,-0.217264810054,0.380860479221,1.32676806286,2024-03-12 09:00:00+03:00,3,31.1324246914,WF01,FLAT
IMOEXF-000005,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-03-12 12:00:00+03:00,2024-03-12 15:00:00+03:00,2024-03-12 15:00:00+03:00,3325,3312.88553758,12.1144624239,12114.4624239,2024-03-13 14:00:00+03:00,3332.50165346,ATR_TRAILING_STOP,14,0.61923122938,0.000165091931447,0.619066137449,0.0825459657237,1.93983019451,2024-03-12 09:00:00+03:00,3,85.6474819794,WF01,FLAT
GLDRUBF-000008,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-03-21 18:00:00+03:00,2024-03-21 20:00:00+03:00,2024-03-21 20:00:00+03:00,6489.9,6446.87182739,43.0281726102,43028.1726102,2024-03-21 22:00:00+03:00,6446.87182739,INITIAL_STOP,2,-1,4.64811745113e-05,-1.00004648117,0.132471347357,0.657708619335,2024-03-21 17:00:00+03:00,2,23.1264711738,WF01,FLAT
IMOEXF-000006,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-03-25 11:00:00+03:00,2024-03-25 13:00:00+03:00,2024-03-25 13:00:00+03:00,3245,3268.79260928,23.7926092755,23792.6092755,2024-03-25 17:00:00+03:00,3267.19802381,ATR_TRAILING_STOP,4,-0.932979798779,8.40597168996e-05,-0.933063858496,0.609432947522,0.714507593647,2024-03-25 10:00:00+03:00,2,43.8790237084,WF01,FLAT
