trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe,net_R,year
T2-M15-CNY-000004,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-02-10 13:45:00+03:00,2023-02-10 14:15:00+03:00,2023-02-10 14:15:00+03:00,10.74,10.7079162348,0.0320837651557,32.0837651557,2023-02-10 15:15:00+03:00,10.72,EMA50_TREND_LOSS,4,-0.623368233216,0.0623368233216,-0.685705056537,0.623368233216,0,2023-02-10 13:30:00+03:00,2,30287.9608128,CNYRUBF,T2,M15,-0.685705056537,2023
T2-M15-Si-000010,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-14 19:15:00+03:00,2023-02-14 19:30:00+03:00,2023-02-14 19:30:00+03:00,73.77,73.5355765884,0.234423411585,234.423411585,2023-02-14 20:15:00+03:00,73.5355765884,INITIAL_STOP,3,-1,0.00853157108531,-1.00853157109,0.511894265118,0,2023-02-14 19:00:00+03:00,1,4862.83149458,USDRUBF,T2,M15,-1.00853157109,2023
T2-M15-Si-000011,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-15 19:30:00+03:00,2023-02-15 20:15:00+03:00,2023-02-15 20:15:00+03:00,74.42,74.2096974889,0.21030251108,210.30251108,2023-02-16 10:15:00+03:00,74.5141446478,ATR_TRAILING_STOP,20,0.447662975261,0.00951010993511,0.438152865326,0.332853847729,1.66426923864,2023-02-15 19:00:00+03:00,3,5365.91156716,USDRUBF,T2,M15,0.438152865326,2023
T2-M15-CNY-000005,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-02-20 09:15:00+03:00,2023-02-20 09:30:00+03:00,2023-02-20 09:30:00+03:00,10.72,10.7724027171,0.0524027170969,52.4027170969,2023-02-20 12:00:00+03:00,10.7667258146,ATR_TRAILING_STOP,10,-0.8916677839,0.038165959912,-0.929833743812,0.76331919824,0.38165959912,2023-02-17 23:45:00+03:00,1,18416.7639361,CNYRUBF,T2,M15,-0.929833743812,2023
T2-M15-Si-000012,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-21 09:30:00+03:00,2023-02-21 10:15:00+03:00,2023-02-21 10:15:00+03:00,74.78,74.5266327852,0.253367214759,253.367214759,2023-02-21 13:00:00+03:00,74.5840562236,ATR_TRAILING_STOP,11,-0.773358844263,0.0078936811217,-0.781252525384,0.749899706562,0.78936811217,2023-02-21 09:15:00+03:00,3,4473.38491762,USDRUBF,T2,M15,-0.781252525384,2023
T2-M15-Si-000013,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-21 15:15:00+03:00,2023-02-21 15:45:00+03:00,2023-02-21 15:45:00+03:00,74.91,74.5315064617,0.378493538268,378.493538268,2023-02-22 09:15:00+03:00,74.8405885523,ATR_TRAILING_STOP,34,-0.183388725908,0.00528410606203,-0.18867283197,0.924718560855,0.317046363722,2023-02-21 12:45:00+03:00,2,2971.13207065,USDRUBF,T2,M15,-0.18867283197,2023
T2-M15-Si-000014,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-22 13:15:00+03:00,2023-02-22 13:30:00+03:00,2023-02-22 13:30:00+03:00,74.91,74.6468636892,0.263136310833,263.136310833,2023-02-24 09:45:00+03:00,75.2123856689,ATR_TRAILING_STOP,45,1.14915979451,0.00760062339428,1.14155917112,0.684056105485,2.20418078434,2023-02-22 13:00:00+03:00,1,4265.59359332,USDRUBF,T2,M15,1.14155917112,2023
T2-M15-CNY-000006,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-02-27 18:15:00+03:00,2023-02-27 18:45:00+03:00,2023-02-27 18:45:00+03:00,10.73,10.7729735312,0.0429735312235,42.9735312235,2023-02-28 09:45:00+03:00,10.690393903,ATR_TRAILING_STOP,24,0.921639340854,0.0465402759107,0.875099064943,0.232701379553,2.55971517509,2023-02-27 18:00:00+03:00,2,22248.9221831,CNYRUBF,T2,M15,0.875099064943,2023
T2-M15-Si-000015,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-02-28 11:45:00+03:00,2023-02-28 12:15:00+03:00,2023-02-28 12:15:00+03:00,74.46,74.7140729944,0.254072994379,254.072994379,2023-02-28 13:30:00+03:00,74.7140729944,INITIAL_STOP,5,-1,0.00787175356785,-1.00787175357,0.787175356785,0.314870142714,2023-02-28 09:30:00+03:00,2,4468.18756271,USDRUBF,T2,M15,-1.00787175357,2023
T2-M15-Si-000016,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-02 11:45:00+03:00,2023-03-02 12:00:00+03:00,2023-03-02 12:00:00+03:00,75.42,75.2713899411,0.148610058889,148.610058889,2023-03-02 17:30:00+03:00,75.4,ATR_TRAILING_STOP,22,-0.134580392131,0.0134580392131,-0.148038431344,0.403741176394,1.54767450951,2023-03-02 11:15:00+03:00,1,7562.0989603,USDRUBF,T2,M15,-0.148038431344,2023
