month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,top_1_positive_R_concentration,top_5_positive_R_concentration,net_R_without_top5,PF_without_top5
2023-01,10,3.27518811509,1.32027153634,13.2027153634,-4.65222061275,2.83793836587,0.3,255,4,0.418077375879,2.84825859575,0.86843832843,1,-5.80291153765,0
2023-02,11,0.390972954627,-0.347628405294,-3.82391245823,-4.83269894072,-0.791258157219,0.272727272727,542.727272727,4,0.509998786686,0.748282674164,0.465029333815,1,-6.27872355962,0
2023-03,19,0.24880171707,-0.382682694915,-7.27097120339,-7.27097120339,-1,0.263157894737,450,5,0.442807056919,1.03263283922,0.369185610471,1,-9.67916376889,0
2023-04,8,1.00873002502,0.00648821069215,0.0519056855372,-4.88387904855,0.0106279629412,0.25,806.25,5,0.583035768628,1.29136616519,0.620430650399,1,-5.94565140497,0
2023-05,11,0,-0.646175257554,-7.10792783309,-7.10792783309,-1,0,121.363636364,11,0.351963324604,0.507323353135,,,-7.10792783309,0
2023-06,12,4.77862853801,0.935491720383,11.2259006446,-1.85336402672,6.05704032383,0.583333333333,680,3,0.484908031989,2.43315312015,0.281595159783,0.83067395592,-0.567005999332,0.809146266466
2023-07,13,3.21538881189,0.802504432188,10.4325576184,-1.96397927258,5.31194894167,0.461538461538,716.538461538,3,0.294584456149,2.27154778223,0.300302084538,0.999617508945,-4.70334011064,0.00122985745931
2023-08,19,9.22602571288,0.967693188439,18.3861705803,-1.0306424891,17.8395231855,0.736842105263,440.526315789,1,0.371148859946,2.5220020026,0.237254916451,0.667274313744,4.62611176283,3.06973573673
2023-09,13,1.77321455759,0.335939592822,4.36721470668,-2.77508440069,1.57372320121,0.307692307692,523.846153846,5,0.464951886391,1.89206494007,0.341515530338,1,-5.64812788871,0
2023-10,14,4.59479163873,1.31327366123,18.3858312572,-5.11457494757,3.59479163873,0.571428571429,758.571428571,6,0.390693865321,2.93801537134,0.559160860667,0.961202224641,-4.2028114668,0.178267693819
2023-11,12,0.281961312028,-0.364260451501,-4.37112541801,-5.35867068682,-0.815710774832,0.25,296.25,4,0.468432429259,1.10741103319,0.575336685423,1,-6.08759039205,0
2023-12,21,1.91111189959,0.414567829032,8.70592440967,-5.91688080591,1.47137059124,0.380952380952,507.142857143,7,0.487974887056,1.72538767469,0.318060756178,0.864571869245,-7.08219456961,0.258818312226
2024-01,11,1.19036159391,0.129098470381,1.42008317419,-4.84291523399,0.293228996499,0.181818181818,548.181818182,4,0.42168658307,1.53377751901,0.918265074608,1,-7.45992479384,0
2024-02,18,0.445941436049,-0.301116572266,-5.4200983008,-6.38035475762,-0.849497952182,0.166666666667,237.5,9,0.36090492269,1.04091037607,0.704863352975,1,-9.78253681732,0
2024-03,10,2.9235987396,0.635722873752,6.35722873752,-1.73160705055,3.67128831886,0.5,340.5,3,0.503568338193,2.23757355287,0.640806494415,1,-3.30486218704,0
2024-04,15,1.21100126902,0.109495341063,1.64243011595,-4.91830044895,0.333942615543,0.333333333333,299,4,0.439905803846,1.44745818455,0.708633838038,1,-7.78398217015,0
2024-05,13,3.98008605701,0.791640040578,10.2913205275,-1.9781036074,5.20261956403,0.692307692308,650.769230769,2,0.360900631031,2.14748846927,0.272021285804,0.906147965991,-2.16339698108,0.373539171979
2024-06,15,2.22033053702,0.417351559045,6.26027338568,-3.54086764185,1.76800547744,0.533333333333,442,4,0.318190004739,1.83139087665,0.33664890353,0.87603534397,-3.71799269131,0.275242511295
2024-07,13,0.384950702374,-0.388350208349,-5.04855270854,-6.90287126669,-0.731369963815,0.384615384615,313.846153846,6,0.452245131294,1.06357614539,0.399441344295,1,-8.2083708217,0
2024-08,12,0.959511980762,-0.024073319976,-0.288879839712,-5.33890415084,-0.0541084521375,0.333333333333,450,4,0.528613112194,1.29572500598,0.506869342978,1,-7.13494621733,0
2024-09,16,0.889861134504,-0.0716746398338,-1.14679423734,-7.37425316946,-0.155513271783,0.25,447.1875,8,0.463503621387,1.48752782378,0.740319135251,1,-10.4122575821,0
2024-10,16,0.825409777357,-0.090084940606,-1.4413590497,-3.62176198394,-0.397971776192,0.375,466.875,4,0.506246990948,1.26663259018,0.356339370615,0.972256198028,-8.06661391652,0.0229000054084
2024-11,14,2.68876882497,0.778801843938,10.9032258151,-4.15785898609,2.62231736372,0.428571428571,545.357142857,5,0.357420391082,2.07834694588,0.402483731807,0.983798228806,-6.17506104258,0.0435628172949
2024-12,12,0.684157053916,-0.141570755832,-1.69884906999,-3.31213512506,-0.512916594838,0.333333333333,991.25,4,0.551015805155,1.02962049165,0.485305814629,1,-5.37877793711,0
