instrument,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,top_1_positive_R_concentration,top_5_positive_R_concentration,net_R_without_top5,PF_without_top5
USDRUBF,175,1.68079215232,0.301945206179,52.8404110814,-16.7250822202,3.15935134941,0.377142857143,465.257142857,12,0.437350000515,1.64626232622,0.126518933899,0.303970417438,13.1855001894,1.16988106015
CNYRUBF,153,1.40867718923,0.203750985763,31.1739008217,-12.0844757822,2.57966513264,0.37908496732,508.725490196,13,0.430556202071,1.67336110351,0.122289705766,0.384653953244,-10.1586714647,0.866823939545
