direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,top_1_positive_R_concentration,top_5_positive_R_concentration,net_R_without_top5,PF_without_top5
LONG,201,1.82547761985,0.368634294455,74.0954931855,-13.6030179548,5.44698929544,0.388059701493,527.014925373,9,0.428781834479,1.77382677934,0.100729848186,0.272783495763,29.3982134019,1.32751745327
SHORT,127,1.15465452575,0.0781009347835,9.91881871751,-16.0777286296,0.616929103981,0.362204724409,419.881889764,14,0.442725986431,1.47701553761,0.177444585658,0.436386546609,-22.3974145788,0.650778824733
