trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,year
T3-Si-M30-000013,T3_MTF_Trend_v1.0,Si,LONG,2023-04-03 14:00:00+03:00,78.2,77.8828434481,0.31715655193,2023-04-04 10:30:00+03:00,79.2464483011,ATR_TRAILING_STOP,23,3727.05930233,3.29946928325,0.01,1.6,0.0315301700033,5.04482720052,1.04644830108,3.29946928325,3561.62774454,0,3727.05930233,0.001,317.15655193,0,T3_MTF_Trend_v1.0,0.31715655193,2023
T3-Si-M30-000014,T3_MTF_Trend_v1.0,Si,LONG,2023-04-05 10:30:00+03:00,79.65,79.3511089609,0.298891039133,2023-04-06 16:30:00+03:00,80.5701241297,ATR_TRAILING_STOP,42,3592.1447494,3.07846007163,0.27,1.45,0.903339226172,4.85126621463,0.920124129738,3.07846007163,3903.97842346,0,3592.1447494,0.001,298.891039133,0,T3_MTF_Trend_v1.0,0.298891039133,2023
T3-Si-M30-000015,T3_MTF_Trend_v1.0,Si,LONG,2023-04-06 18:30:00+03:00,81.24,80.8613320572,0.378667942793,2023-04-07 10:00:00+03:00,82.0375375977,ATR_TRAILING_STOP,13,2533.26633096,2.10616613541,0.09,1.42,0.23767525536,3.74998736235,0.797537597676,2.10616613541,3176.35975826,0,2533.26633096,0.001,378.667942793,0,T3_MTF_Trend_v1.0,0.378667942793,2023
T3-Si-M30-000016,T3_MTF_Trend_v1.0,Si,LONG,2023-04-07 13:00:00+03:00,83.13,82.6383920138,0.491607986165,2023-04-07 14:00:00+03:00,82.6383920138,ATR_TRAILING_STOP,2,-1228.11827854,-1,0.491607986165,0.29,1,0.58990091325,-0.491607986165,-1,2498.16584169,0,-1228.11827854,0.001,491.607986165,0,T3_MTF_Trend_v1.0,0.491607986165,2023
T3-Si-M30-000017,T3_MTF_Trend_v1.0,Si,LONG,2023-04-10 11:30:00+03:00,81.79,81.2421333087,0.54786669128,2023-04-10 19:30:00+03:00,81.3514720914,ATR_TRAILING_STOP,16,-973.190207132,-0.800428125222,0.438527908573,0.23,0.800428125222,0.419810153931,-0.438527908573,-0.800428125222,2219.22068837,0,-973.190207132,0.001,547.86669128,0,T3_MTF_Trend_v1.0,0.54786669128,2023
T3-Si-M30-000018,T3_MTF_Trend_v1.0,Si,LONG,2023-04-11 12:30:00+03:00,82.48,82.0970135422,0.382986457818,2023-04-11 13:30:00+03:00,82.0970135422,ATR_TRAILING_STOP,2,-1206.10519369,-1,0.382986457818,0.07,1,0.182774086579,-0.382986457818,-1,3149.21107278,0,-1206.10519369,0.001,382.986457818,0,T3_MTF_Trend_v1.0,0.382986457818,2023
T3-Si-M30-000019,T3_MTF_Trend_v1.0,Si,SHORT,2023-05-04 12:30:00+03:00,78.41,78.7975341775,0.387534177504,2023-05-04 21:30:00+03:00,78.1143479355,ATR_TRAILING_STOP,18,910.943178879,0.76290578131,0.04,0.83,0.103216702737,2.1417465818,0.295652064473,0.76290578131,3081.13248085,0,910.943178879,0.001,387.534177504,0,T3_MTF_Trend_v1.0,0.387534177504,2023
T3-Si-M30-000020,T3_MTF_Trend_v1.0,Si,SHORT,2023-05-05 10:00:00+03:00,77.12,77.5525154056,0.43251540559,2023-05-05 13:30:00+03:00,77.0826125911,ATR_TRAILING_STOP,7,104.002757077,0.0864417970947,0.23,0.81,0.531772965835,1.87276566229,0.0373874089303,0.0864417970947,2781.75888763,0,104.002757077,0.001,432.51540559,0,T3_MTF_Trend_v1.0,0.43251540559,2023
T3-Si-M30-000021,T3_MTF_Trend_v1.0,Si,SHORT,2023-05-10 11:00:00+03:00,77.18,77.5687498635,0.388749863493,2023-05-11 10:00:00+03:00,76.3810235222,ATR_TRAILING_STOP,28,2474.91369742,2.05524568071,0.03,1.32,0.0771704451044,3.39549958459,0.798976477821,2.05524568071,3097.60520631,0,2474.91369742,0.001,388.749863493,0,T3_MTF_Trend_v1.0,0.388749863493,2023
T3-Si-M30-000022,T3_MTF_Trend_v1.0,Si,LONG,2023-05-15 13:30:00+03:00,79.4,78.8560529741,0.543947025912,2023-05-17 10:00:00+03:00,80.4353427911,ATR_TRAILING_STOP,53,2339.15610149,1.90338900993,0.32,1.46,0.588292581366,2.68408490248,1.0353427911,1.90338900993,2259.30592418,0,2339.15610149,0.001,543.947025912,0,T3_MTF_Trend_v1.0,0.543947025912,2023
T3-Si-M30-000023,T3_MTF_Trend_v1.0,Si,LONG,2023-05-30 09:30:00+03:00,81.38,81.1252461761,0.254753823862,2023-05-30 10:30:00+03:00,81.1252461761,ATR_TRAILING_STOP,2,-1252.3342991,-1,0.254753823862,0.05,1,0.196267907747,-0.254753823862,-1,4915.86065368,0,-1252.3342991,0.001,254.753823862,0,T3_MTF_Trend_v1.0,0.254753823862,2023
T3-Si-M30-000024,T3_MTF_Trend_v1.0,Si,LONG,2023-06-13 11:00:00+03:00,83.59,83.2291271718,0.36087282824,2023-06-13 14:00:00+03:00,83.5921587444,ATR_TRAILING_STOP,6,7.41655981019,0.00598200860677,0,0.59,0,1.63492497586,0.00215874436448,0.00598200860677,3435.58965676,0,7.41655981019,0.001,360.87282824,0,T3_MTF_Trend_v1.0,0.36087282824,2023
T3-Si-M30-000025,T3_MTF_Trend_v1.0,Si,LONG,2023-06-13 18:30:00+03:00,84.26,83.8746518627,0.385348137349,2023-06-14 12:30:00+03:00,84.4563773203,ATR_TRAILING_STOP,18,631.85803704,0.50961014531,0.05,0.74,0.12975280053,1.92034144784,0.196377320269,0.50961014531,3217.57133753,0,631.85803704,0.001,385.348137349,0,T3_MTF_Trend_v1.0,0.385348137349,2023
