year,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,average_holding_hours,average_MAE_R,average_MFE_R
2023,60,1.66896842974,0.302717432179,18.1630459308,-4.55739373604,3.98540196058,0.416666666667,18.3583333333,0.580234350507,1.7383907248
2024,56,1.81453729656,0.364654646491,20.4206602035,-8.26990262462,2.46927456469,0.428571428571,20.0357142857,0.585129284125,1.73243002635
