configuration_id,trades,trade_count,PF_C0,expectancy_C0,net_R_C0,max_DD_C0,recovery_factor_C0,win_rate_C0,PF_C05,expectancy_C05,net_R_C05,max_DD_C05,recovery_factor_C05,win_rate_C05,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,PF_C2,expectancy_C2,net_R_C2,max_DD_C2,recovery_factor_C2,win_rate_C2,Si_trades,Si_expectancy_C1,CNY_trades,CNY_expectancy_C1,Y2023_trades,Y2023_expectancy_C1,Y2024_trades,Y2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5
T1-0000-d40d6424aff2,11,11,1.42621708622,0.20488807248,2.25376879728,-5.27556269967,0.427209176647,0.272727272727,1.39110770275,0.191755239809,2.1093076379,-5.36646648876,0.393053351272,0.272727272727,1.35734332427,0.178622407138,1.96484647852,-5.45737027786,0.360035397725,0.272727272727,1.29355183405,0.152356741797,1.67592415977,-5.63917785606,0.297192995601,0.272727272727,3,-0.0497288935937,8,0.264254144913,6,1.02077282,5,-0.831958088299,3,2.07622981298,8,-0.532980370053,0.545418197335,1,1,1,-2.10578966655,0.617023575182,-0.210578966655,-5.49848379714,0,-0.687310474643,-5.49848379714,0,-0.687310474643
T1-0001-ccda65eec550,38,38,0.874034488498,-0.0596209738343,-2.2655970057,-4.6155136243,-0.490865630592,0.210526315789,0.854647317744,-0.0700115074912,-2.66043728467,-4.80655486886,-0.553501906719,0.210526315789,0.835921224656,-0.0804020411481,-3.05527756363,-4.99759611342,-0.611349435667,0.210526315789,0.800321479898,-0.101183108462,-3.84495812155,-5.37967860253,-0.714718927585,0.210526315789,17,-0.0556848927303,21,-0.100411161296,23,0.056400615771,15,-0.290166115091,17,0.0777697019867,21,-0.20844583321,0.261494864286,0.663643209767,0.847542534307,1,-7.1255809497,0.617332117461,-0.192583268911,-13.3852288276,0.281167780013,-0.38243510936,-16.2477173335,0.12744243143,-0.492355070713
T1-0002-0481eb623e21,34,34,0.84555247755,-0.0727290405684,-2.47278737933,-5.68938176822,-0.434632000464,0.205882352941,0.82575097956,-0.0836429879463,-2.84386159017,-5.86174369966,-0.485156249725,0.205882352941,0.80668801936,-0.0945569353241,-3.21493580102,-6.03410563109,-0.532794087073,0.205882352941,0.770618383086,-0.11638483008,-3.95708422272,-6.37882949396,-0.620346448586,0.205882352941,14,0.0434138526076,20,-0.191136486876,21,0.103526925858,13,-0.414538557233,15,0.0190383610734,19,-0.18423743248,0.303394455494,0.769979444221,0.935450100719,1,-7.28523918709,0.561943346973,-0.220764823851,-13.544887065,0.185554826554,-0.436931840807,-15.7648214153,0.0520716304005,-0.543614531562
T1-0003-f4688d045204,19,19,1.00026329531,0.00013062889023,0.00248194891437,-4.36557301285,0.000568527638196,0.210526315789,0.976709228956,-0.0117771827207,-0.223766471692,-4.50427630066,-0.0496786734996,0.210526315789,0.954026398211,-0.0236849943315,-0.450014892299,-4.64297958847,-0.0969237283354,0.210526315789,0.911087984891,-0.0475006175533,-0.902511733513,-4.92038616408,-0.183422947593,0.210526315789,8,0.154673355825,11,-0.153400158082,12,0.169692548003,7,-0.355189352619,13,0.0432059535064,6,-0.168615381314,0.435861022117,0.951578836707,1,1,-4.52031827837,0.53820347716,-0.251128793243,-9.33636711152,0.0461950680139,-0.58352294447,-9.788549837,0,-0.652569989133
T1-0004-dc0a2025b1c3,16,16,1.20807765411,0.0965803298104,1.54528527697,-2.945512293,0.524623604743,0.1875,1.1789429662,0.084704721828,1.35527554925,-3.00814563491,0.450535217949,0.1875,1.15091993037,0.0728291138456,1.16526582153,-3.07077897683,0.379469128296,0.1875,1.09796367384,0.0490778978807,0.785246366092,-3.19604566067,0.245693099994,0.1875,7,0.112172017304,9,0.0422290778225,10,0.262701815656,6,-0.243625389172,12,0.133713975132,4,-0.109825470014,0.458039844208,1,1,1,-2.90503756454,0.623752744768,-0.193669170969,-7.72108639769,0,-0.593929722899,-7.72108639769,0,-0.593929722899
T1-0005-2b36951632eb,28,28,0.949390736675,-0.0279321572729,-0.782100403642,-7.06705915134,-0.110668438865,0.214285714286,0.92491738887,-0.0423369210954,-1.18543379067,-7.3240654402,-0.16185461481,0.214285714286,0.901460105774,-0.0567416849178,-1.5887671777,-7.58107172907,-0.209570260575,0.214285714286,0.85735071811,-0.0855512125626,-2.39543395175,-8.0950843068,-0.295912168542,0.214285714286,13,0.140115202899,15,-0.227350987692,17,0.187450018422,11,-0.434128862807,14,0.100267086888,14,-0.213750456724,0.373397012322,0.822256560318,0.962038268323,1,-7.01583835913,0.56485759555,-0.259845865153,-13.5397060845,0.160228619937,-0.541588243379,-15.5713379781,0.0342209866531,-0.677014694699
T1-0006-6a82878db618,28,28,1.16108923678,0.0483171103629,1.35287909016,-2.37676411362,0.569210500281,0.392857142857,1.12237303611,0.0375135374961,1.05037904989,-2.40833954926,0.43614242444,0.392857142857,1.08529138786,0.0267099646293,0.74787900962,-2.43991498491,0.306518470621,0.392857142857,1.01563446811,0.00510281889566,0.142878929078,-2.50306585619,0.0570815700773,0.392857142857,13,-0.0909990116821,15,0.128724410766,17,0.0735565100254,11,-0.045689241892,14,0.0296728871445,14,0.023747042114,0.445704985176,0.711773861205,0.853563704678,0.993732351778,-3.49362626452,0.601571605922,-0.129393565352,-6.02564313328,0.312809346191,-0.241025725331,-7.37497147582,0.158926050183,-0.320650933731
T1-0007-36ba7008fa91,28,28,0.816493108986,-0.0883243743966,-2.4730824831,-6.27129444043,-0.394349604631,0.214285714286,0.797813043943,-0.0991279472634,-2.77558252338,-6.46404915708,-0.429387595287,0.214285714286,0.779803859508,-0.10993152013,-3.07808256365,-6.65680387373,-0.462396462632,0.214285714286,0.745658579345,-0.131538665864,-3.68308264419,-7.04231330703,-0.522993295472,0.214285714286,13,0.0677293347262,15,-0.263904261006,17,0.0720282724375,11,-0.391142108644,14,0.0255874749771,14,-0.245450515238,0.373397012322,0.822256560318,0.962038268323,1,-7.14838594972,0.48862742817,-0.264755035175,-12.0412867437,0.138605020267,-0.481651469749,-13.5650106639,0.0296027048755,-0.589783072345
T1-0008-38c6a093042c,27,27,2.06758327826,0.615305139818,16.6132387751,-5.52395241041,3.00749129261,0.296296296296,2.03366783224,0.604394000902,16.3186380244,-5.69108930044,2.86740150486,0.296296296296,2.00070796255,0.593482861987,16.0240372737,-5.85822619048,2.73530532155,0.296296296296,1.93737793645,0.571660584156,15.4348357722,-6.19249997054,2.49250477927,0.259259259259,13,1.12890818125,14,0.0963022083866,17,1.16456495094,10,-0.377356689238,13,1.61674684848,14,-0.356690839756,0.478482481866,0.848973684012,0.966106294265,1,0.695019290479,1.04340425114,0.0267315111723,-11.1743103413,0.302159552952,-0.465596264221,-14.9268571053,0.0678114069444,-0.678493504788
T1-0009-c031b709f787,28,28,0.750569676375,-0.104478983575,-2.92541154011,-5.37988292641,-0.543768624732,0.214285714286,0.734482198435,-0.113121841869,-3.16741157233,-5.53408669973,-0.572345852927,0.214285714286,0.718927385868,-0.121764700162,-3.40941160455,-5.68829047305,-0.599373681899,0.214285714286,0.689313327268,-0.139050416749,-3.89341166898,-5.99669801969,-0.649259251707,0.214285714286,13,0.0246374539689,15,-0.248646567076,17,0.012458137806,11,-0.329199995204,14,-0.00693701879617,14,-0.236592381529,0.373397012322,0.822256560318,0.962038268323,1,-6.6656543134,0.450482047908,-0.246876085682,-10.5799749486,0.127784626446,-0.423198997945,-11.7989540848,0.0272917285177,-0.512998003686
