configuration_id,neighbor_count,positive_neighbors,stable_neighbors,classification,expectancy_C1,PF_C1
T1-0000-d40d6424aff2,1,0,0,LOCAL_SPIKE,0.178622407138,1.35734332427
T1-0001-ccda65eec550,1,0,0,NO_EDGE,-0.0804020411481,0.835921224656
T1-0002-0481eb623e21,2,0,0,NO_EDGE,-0.0945569353241,0.80668801936
T1-0003-f4688d045204,2,1,0,NO_EDGE,-0.0236849943315,0.954026398211
T1-0004-dc0a2025b1c3,1,0,0,LOCAL_SPIKE,0.0728291138456,1.15091993037
T1-0005-2b36951632eb,1,0,0,NO_EDGE,-0.0567416849178,0.901460105774
T1-0006-6a82878db618,1,0,0,LOCAL_SPIKE,0.0267099646293,1.08529138786
T1-0007-36ba7008fa91,10,3,0,NO_EDGE,-0.10993152013,0.779803859508
T1-0008-38c6a093042c,1,0,0,LOCAL_SPIKE,0.593482861987,2.00070796255
T1-0009-c031b709f787,2,0,0,NO_EDGE,-0.121764700162,0.718927385868
T1-0010-dc8888f0a6c6,1,0,0,NO_EDGE,-0.0686945503137,0.795503445846
T1-0011-992694a505be,2,0,0,NO_EDGE,-0.0972122011225,0.806950092214
T1-0012-854c8cf5bfe9,2,0,0,NO_EDGE,-0.0100960604942,0.978722446454
T1-0013-31ce9b497a01,2,0,0,NO_EDGE,-0.171787726198,0.709551505598
T1-0014-e1b4e518eb50,1,0,0,NO_EDGE,-0.491728183861,0.1328951764
T1-0015-b220524c4c8e,1,0,0,NO_EDGE,-0.153314930743,0.748548725404
T1-0016-c68a02ea1afc,2,0,0,NO_EDGE,-0.340829022832,0.453464572788
T1-0017-91411e1ae5cd,2,0,0,NO_EDGE,-0.091201303371,0.830394416874
T1-0018-231dd048966d,1,0,0,NO_EDGE,-0.177861809342,0.682366065574
