month,total_trades,PF,expectancy,net_R,max_drawdown,win_rate,average_win,average_loss,recovery_factor
2025-02,3,1.00594083541,0.00234207259631,0.00702621778894,-1.18269861082,0.333333333333,1.18972482861,-0.591349305409,0.00594083541206
2025-03,6,2.51768515728,0.364255172615,2.18553103569,-1.42364580325,0.5,1.2085244916,-0.480014146371,1.53516487788
2025-04,12,0.606834676632,-0.212027999931,-2.54433599917,-3.63106486507,0.166666666667,1.96353953609,-0.647141507134,-0.700713452863
2025-05,2,9.9314525634,0.777770866047,1.55554173209,-0.174164473366,0.5,1.72970620546,-0.174164473366,8.9314525634
2025-06,1,0,-0.844255061,-0.844255061,-0.844255061,0,,-0.844255061,-1
2025-07,14,2.30678031626,0.506657160229,7.0932002432,-2.61527396722,0.357142857143,2.50423954153,-0.603110829381,2.71222072032
2025-08,2,1.07115613416,0.0273673545647,0.0547347091294,-0.769219825888,0.5,0.823954535017,-0.769219825888,0.0711561341601
2025-09,16,6.55046160386,1.71672418702,27.4675869924,-3.33639701395,0.5,4.05203627161,-0.618587897565,8.23270938006
2025-10,22,2.58296506081,0.441055666331,9.70322465928,-2.61500854641,0.5,1.43936389275,-0.557252560087,3.71059003711
2025-11,8,0.0451160273493,-0.628146604828,-5.02517283862,-5.02517283862,0.125,0.237427626514,-0.751800066448,-1
2025-12,14,0.275735879424,-0.285278274967,-3.99389584954,-5.08528330383,0.357142857143,0.304104636172,-0.6127132256,-0.785383155847
2026-01,11,3.23414858084,0.551574368813,6.06731805694,-2.51876118022,0.454545454545,1.75660725984,-0.452619707046,2.40885007463
2026-02,4,0,-0.564715514109,-2.25886205644,-2.25886205644,0,,-0.564715514109,-1
2026-03,15,5.68347801738,0.948329551204,14.2249432681,-2.58065298607,0.666666666667,1.72622038713,-0.607452120637,5.51214880298
2026-04,7,1.39017911079,0.116233980593,0.813637864148,-1.36342776158,0.571428571429,0.724732777338,-0.695097748401,0.596759056163
2026-05,11,1.07355538349,0.0290171920886,0.319189112974,-2.65598824639,0.272727272727,1.5528760975,-0.542429897442,0.120177155681
2026-06,16,3.99761484213,0.708259607802,11.3321537248,-1.00002555047,0.5,1.88906798861,-0.47254877301,11.3318641904
2026-07,8,0.0661745646009,-0.510748985014,-4.08599188011,-4.08599188011,0.25,0.144774774481,-0.729256904846,-1
2026-08,20,9.69248050125,1.28534548642,25.7069097284,-1.13762387133,0.7,2.0474487876,-0.492895549678,22.5970203123
2026-09,7,0.178902854817,-0.478204162831,-3.34742913982,-3.34742913982,0.285714285714,0.364673432932,-0.815355201137,-1
