direction,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
LONG,104,1.68279570077,0.329203362391,34.2371496887,-10.3094505085,3.3209480622,0.394230769231,4,8
SHORT,89,1.74109385022,0.305173830684,27.1604709308,-5.18975037043,5.23348311425,0.370786516854,3,8
