trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,fold,fold_start_state
GLDRUBF-000006,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-02-01 10:30:00+03:00,2024-02-01 11:00:00+03:00,2024-02-01 11:00:00+03:00,5857.2,5834.1113178,23.0886821958,23088.6821958,2024-02-01 15:00:00+03:00,5844.52418578,ATR_TRAILING_STOP,8,-0.549005530718,8.66225271342e-05,-0.549092153245,0.264198707759,0.753615986068,2024-02-01 10:00:00+03:00,1,43.0018860872,WF01,FLAT
CNYRUBF-000004,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-02-01 15:30:00+03:00,2024-02-01 16:00:00+03:00,2024-02-01 16:00:00+03:00,12.57,12.5309773559,0.0390226441306,39.0226441306,2024-02-02 17:30:00+03:00,12.613700127,ATR_TRAILING_STOP,34,1.11986586246,0.0512522932405,1.06861356922,0.640653665506,2.43448392892,2024-02-01 15:00:00+03:00,1,25788.9099008,WF01,FLAT
USDRUBF-000004,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-02-02 18:00:00+03:00,2024-02-02 19:00:00+03:00,2024-02-02 19:00:00+03:00,90.99,90.6426761519,0.347323848121,347.323848121,2024-02-05 15:30:00+03:00,91.1638670792,ATR_TRAILING_STOP,24,0.500590673929,0.00575831464156,0.494832359287,0.633414610572,1.81386911209,2024-02-02 17:30:00+03:00,2,2898.24566498,WF01,FLAT
GLDRUBF-000007,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-02-07 12:00:00+03:00,2024-02-07 12:30:00+03:00,2024-02-07 12:30:00+03:00,5884.5,5872.93858062,11.5614193795,11561.4193795,2024-02-07 15:30:00+03:00,5872.93858062,INITIAL_STOP,6,-1,0.000172989140377,-1.00017298914,0.441122307961,0.847646787846,2024-02-07 11:30:00+03:00,1,85.4051868585,WF01,FLAT
GLDRUBF-000008,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,SHORT,2024-02-09 17:00:00+03:00,2024-02-09 18:00:00+03:00,2024-02-09 18:00:00+03:00,5831.8,5850.02954324,18.2295432392,18229.5432392,2024-02-12 15:00:00+03:00,5823.82563575,ATR_TRAILING_STOP,25,0.437441802231,0.000109712019317,0.437332090211,0.219424038634,1.56888187623,2024-02-09 16:30:00+03:00,2,53.6233634437,WF01,FLAT
USDRUBF-000005,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-02-13 17:00:00+03:00,2024-02-13 17:30:00+03:00,2024-02-13 17:30:00+03:00,91.36,91.0992910853,0.260708914692,260.708914692,2024-02-13 18:00:00+03:00,91.24,EMA50_TREND_LOSS,1,-0.460283454986,0.00767139091644,-0.467954845903,0,0,2024-02-13 14:00:00+03:00,1,3880.23159289,WF01,FLAT
CNYRUBF-000005,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-02-16 13:00:00+03:00,2024-02-16 14:00:00+03:00,2024-02-16 14:00:00+03:00,12.75,12.7059085669,0.0440914330983,44.0914330983,2024-02-16 16:30:00+03:00,12.7435957923,ATR_TRAILING_STOP,5,-0.145248346178,0.0453602856487,-0.190608631827,0,1.49688942641,2024-02-16 12:30:00+03:00,2,23068.0971402,WF01,FLAT
USDRUBF-000006,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-02-16 12:30:00+03:00,2024-02-16 13:30:00+03:00,2024-02-16 13:30:00+03:00,92.46,92.2149891038,0.245010896241,245.010896241,2024-02-16 17:00:00+03:00,92.3545140615,ATR_TRAILING_STOP,7,-0.43053570305,0.00816290226552,-0.438698605316,0.408145113276,1.67339496443,2024-02-16 12:00:00+03:00,2,4109.51961827,WF01,FLAT
GLDRUBF-000009,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-02-16 17:00:00+03:00,2024-02-16 18:30:00+03:00,2024-02-16 18:30:00+03:00,5876.7,5863.17431629,13.5256837142,13525.6837142,2024-02-16 19:30:00+03:00,5863.17431629,INITIAL_STOP,2,-1,0.000147866831893,-1.00014786683,0.155260173487,0.280946980596,2024-02-16 16:30:00+03:00,3,72.5881584349,WF01,FLAT
CNYRUBF-000006,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-02-21 12:00:00+03:00,2024-02-21 12:30:00+03:00,2024-02-21 12:30:00+03:00,12.824,12.8037652002,0.0202347997738,20.2347997738,2024-02-21 15:30:00+03:00,12.8037652002,INITIAL_STOP,6,-1,0.0988396239331,-1.09883962393,0.691877367532,0,2024-02-21 11:30:00+03:00,1,50169.3509353,WF01,FLAT
CNYRUBF-000007,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-02-21 16:30:00+03:00,2024-02-21 17:00:00+03:00,2024-02-21 17:00:00+03:00,12.809,12.7958317352,0.0131682648162,13.1682648162,2024-02-21 17:30:00+03:00,12.7958317352,INITIAL_STOP,1,-1,0.151880299182,-1.15188029918,0,0,2024-02-21 14:00:00+03:00,1,76244.7999215,WF01,FLAT
IMOEXF-000003,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-02-21 16:30:00+03:00,2024-02-21 17:30:00+03:00,2024-02-21 17:30:00+03:00,3167,3178.78019746,11.7801974607,11780.1974607,2024-02-22 09:30:00+03:00,3164.55111744,ATR_TRAILING_STOP,15,0.207881282963,0.000169776441071,0.207711506522,0,2.20709373393,2024-02-21 15:30:00+03:00,2,86.4153282274,WF01,FLAT
GLDRUBF-000010,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-02-22 11:30:00+03:00,2024-02-22 12:00:00+03:00,2024-02-22 12:00:00+03:00,5945.2,5918.83050724,26.3694927571,26369.4927571,2024-02-22 16:30:00+03:00,5938.82622488,ATR_TRAILING_STOP,9,-0.241710190407,7.58452207794e-05,-0.241786035628,0.193405312987,1.05424856883,2024-02-22 10:00:00+03:00,1,36.8602075456,WF01,FLAT
