direction,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
LONG,511,1.37370271035,0.168716131232,86.2139430594,-24.5742947696,3.50829775047,0.362035225049,8,12
SHORT,471,1.39527699845,0.190168501762,89.56936433,-17.2825937192,5.18263437684,0.371549893843,4,9
