instrument,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
USDRUBF,456,1.33197387166,0.172814997093,78.8036386744,-26.1997927363,3.00779626264,0.328947368421
CNYRUBF,374,0.88358940542,-0.075251428372,-28.1440342111,-52.9627934905,-0.5313925561,0.270053475936
