scope,status,MAE_R_median,MAE_R_p05,MAE_R_p10,MAE_R_p25,MAE_R_p75,MAE_R_p90,MAE_R_p95,MFE_R_median,MFE_R_p05,MFE_R_p10,MFE_R_p25,MFE_R_p75,MFE_R_p90,MFE_R_p95,average_MAE_R,average_MFE_R
ALL,AVAILABLE,0.469848272693,0,0,0.186265244029,0.726433525955,0.908585187015,0.937728689414,0.783419871798,0,0,0.158994951579,1.88831672276,4.12523446596,5.87338348425,0.456994680204,1.55704905772
USDRUBF,AVAILABLE,0.460376984574,0,0,0.182248571675,0.715778089382,0.875080799495,0.924495380833,0.848360403658,0,0,0.22140849801,2.1058619351,4.19932428601,6.31732364743,0.445009008285,1.65544568316
CNYRUBF,AVAILABLE,0.472466232449,0,0,0.201840439858,0.753289031593,0.932040110837,0.949730816138,0.639314351977,0,0,0.0485176606075,1.69810395389,3.80419077283,5.53118447035,0.471608226714,1.43707884061
