rank,start_date,end_date,trades,net_R,max_drawdown_R,instruments,directions,sessions
1,2023-04-10,2024-11-25,681,1.62968972159,-56.4226125007,CNYRUBF:309;USDRUBF:372,LONG:380;SHORT:301,Session_A:36;Session_B:444;Session_C:201
2,2023-02-17,2023-04-06,45,0.470221071057,-17.7560748148,CNYRUBF:16;USDRUBF:29,LONG:31;SHORT:14,Session_A:3;Session_B:27;Session_C:15
3,2023-01-12,2023-02-10,34,2.46673900367,-12.6477514882,CNYRUBF:17;USDRUBF:17,LONG:24;SHORT:10,Session_A:6;Session_B:17;Session_C:11
4,2024-12-12,2024-12-30,27,-2.39485550477,-8.46534626138,CNYRUBF:12;USDRUBF:15,LONG:11;SHORT:16,Session_B:17;Session_C:10
5,2024-11-26,2024-11-27,7,11.615149886,-4.23866204564,CNYRUBF:5;USDRUBF:2,LONG:7,Session_B:7
