weekday,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
Monday,157,1.21501937928,0.128958670634,20.2465112895,-17.0578840733,1.18692982099,0.312101910828
Tuesday,146,0.774382556446,-0.144668852276,-21.1216524323,-43.9413847763,-0.480677897155,0.27397260274
Wednesday,165,1.16841595798,0.0888649726315,14.6627204842,-25.1065709549,0.584019239845,0.30303030303
Thursday,166,1.10054813654,0.0631764752068,10.4872948843,-22.6634170529,0.462741115334,0.301204819277
Friday,194,1.26372624765,0.135062580288,26.2021405758,-15.3448778666,1.70754963341,0.314432989691
