symbol,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
Si,128,1.48274550141,0.223934029058,28.6635557194,-13.2456375882,2.16399969639,0.3515625,4,13
CNY,48,2.83396502482,0.800130150304,38.4062472146,-8.62595691836,4.45240424663,0.375,4,6
GD,95,1.32769417181,0.148444264911,14.1022051665,-12.6723804168,1.11283000531,0.347368421053,4,7
BR,116,1.6421782364,0.266486561632,30.9124411494,-7.36255680905,4.198601376,0.405172413793,5,10
MIX,146,0.985205814269,-0.00698591080278,-1.01994297721,-21.9589136145,-0.0464477885888,0.301369863014,3,12
NG,116,1.61337764762,0.298160054228,34.5865662905,-10.1071322309,3.42199602225,0.370689655172,5,6
