group,metric,trade_count,mean,median,p75,p90
ALL,MAE_R,649,0.453076794096,0.461342215362,0.68247496157,0.824541213019
ALL,MFE_R,649,1.62437598363,0.855143976709,2.09444965737,4.3251904753
WINNERS,MAE_R,230,0.368973913779,0.308121679116,0.537505327336,0.752923097922
WINNERS,MFE_R,230,3.57915402268,2.86669543807,4.64179506259,6.33988248041
LOSERS,MAE_R,419,0.49924305298,0.51820699838,0.718973904533,0.844474347925
LOSERS,MFE_R,419,0.551347465778,0.426439857861,0.833420210726,1.24567416519
