year,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
2020,99,1.1417841327,0.0736287678106,7.28924801325,-9.10430833857,0.800637208471,0.292929292929,3,7
2021,135,1.02464515942,0.0119102379949,1.60788212931,-14.9346837251,0.107660942736,0.355555555556,5,9
2022,118,1.5463499108,0.259930267262,30.671771537,-14.0978184419,2.17563956178,0.347457627119,3,11
2023,139,2.16270338006,0.47443477051,65.9464331008,-7.5272829157,8.76098770824,0.381294964029,5,7
2024,158,1.59629352864,0.254023656853,40.1357377827,-9.8624450895,4.06955247086,0.373417721519,5,10
