direction,trades,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
LONG,16,4.23357292671,1.21511661867,19.4418658987,-2.01663459851,9.64074796353,0.5625,4,2
SHORT,9,0.155340165426,-0.53524336038,-4.81719024342,-4.81719024342,-1,0.222222222222,1,4
