symbol,trades,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
Si,12,2.69462414687,0.759108537565,9.10930245078,-2.82241492665,3.22748521656,0.5,2,2
CNY,13,1.86990473145,0.424259477271,5.51537320452,-4.12545469731,1.33691280336,0.384615384615,2,4
