analysis,hypothesis_id,scope,label,time_dimension,time_value,descriptive_class,excluded_values,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
time_slice,M5_TIME_HOUR_0,T3,0,hour,0,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_1,T3,1,hour,1,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_2,T3,2,hour,2,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_3,T3,3,hour,3,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_4,T3,4,hour,4,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_5,T3,5,hour,5,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_6,T3,6,hour,6,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_7,T3,7,hour,7,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_8,T3,8,hour,8,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_9,T3,9,hour,9,negative,DATA_UNAVAILABLE,30,0.412250170924,-0.37526147187,-11.2578441561,-13.029477157,-0.864028849387,0.233333333333
time_slice,M5_TIME_HOUR_10,T3,10,hour,10,positive,DATA_UNAVAILABLE,142,1.68760387768,0.333585481589,47.3691383857,-10.88525666,4.35167859291,0.408450704225
time_slice,M5_TIME_HOUR_11,T3,11,hour,11,positive,DATA_UNAVAILABLE,113,2.38291313134,0.605354682939,68.4050791722,-16.4169026399,4.16674696028,0.389380530973
time_slice,M5_TIME_HOUR_12,T3,12,hour,12,positive,DATA_UNAVAILABLE,140,1.39239170124,0.167115107926,23.3961151097,-8.6410481024,2.70755524473,0.428571428571
time_slice,M5_TIME_HOUR_13,T3,13,hour,13,positive,DATA_UNAVAILABLE,111,1.29277895223,0.132617098689,14.7204979545,-10.687121673,1.37740529255,0.441441441441
time_slice,M5_TIME_HOUR_14,T3,14,hour,14,negative,DATA_UNAVAILABLE,113,0.802223859742,-0.107191765062,-12.112669452,-15.4520636697,-0.783886845856,0.345132743363
time_slice,M5_TIME_HOUR_15,T3,15,hour,15,negative,DATA_UNAVAILABLE,107,0.797372103196,-0.102602102554,-10.9784249733,-28.2442755487,-0.388695576715,0.355140186916
time_slice,M5_TIME_HOUR_16,T3,16,hour,16,negative,DATA_UNAVAILABLE,92,0.591125450356,-0.237132262845,-21.8161681818,-27.4194932752,-0.79564446953,0.271739130435
time_slice,M5_TIME_HOUR_17,T3,17,hour,17,positive,DATA_UNAVAILABLE,106,1.5616134454,0.235372111748,24.9494438453,-10.0840030239,2.4741606866,0.481132075472
time_slice,M5_TIME_HOUR_18,T3,18,hour,18,negative,DATA_UNAVAILABLE,84,0.979389434626,-0.0097561177134,-0.819513887926,-10.1628291871,-0.0806383609166,0.392857142857
time_slice,M5_TIME_HOUR_19,T3,19,hour,19,negative,DATA_UNAVAILABLE,48,0.345665859608,-0.285754028474,-13.7161933668,-15.5611578227,-0.881437841774,0.25
time_slice,M5_TIME_HOUR_20,T3,20,hour,20,negative,DATA_UNAVAILABLE,13,0.212856208593,-0.408894344972,-5.31562648464,-6.75305648429,-0.787143791407,0.230769230769
time_slice,M5_TIME_HOUR_21,T3,21,hour,21,negative,DATA_UNAVAILABLE,11,0.161347433448,-0.663721443788,-7.30093588167,-7.30093588167,-1,0.0909090909091
time_slice,M5_TIME_HOUR_22,T3,22,hour,22,positive,DATA_UNAVAILABLE,11,1.21483806393,0.158833369102,1.74716706012,-5.27079334291,0.331480850501,0.272727272727
time_slice,M5_TIME_HOUR_23,T3,23,hour,23,negative,DATA_UNAVAILABLE,10,0.101758959134,-0.973981482441,-9.73981482441,-9.73981482441,-1,0.1
time_slice,M5_TIME_WEEKDAY_Monday,T3,Monday,weekday,Monday,positive,DATA_UNAVAILABLE,230,1.46366854289,0.201148406009,46.264133382,-23.2398023263,1.99072835184,0.413043478261
time_slice,M5_TIME_WEEKDAY_Tuesday,T3,Tuesday,weekday,Tuesday,positive,DATA_UNAVAILABLE,200,1.14530259401,0.0655223017468,13.1044603494,-14.6929838742,0.891885573522,0.42
time_slice,M5_TIME_WEEKDAY_Wednesday,T3,Wednesday,weekday,Wednesday,negative,DATA_UNAVAILABLE,221,0.823605602705,-0.0958158515151,-21.1753031848,-33.9352234412,-0.623991859713,0.316742081448
time_slice,M5_TIME_WEEKDAY_Thursday,T3,Thursday,weekday,Thursday,positive,DATA_UNAVAILABLE,224,1.24392696854,0.12074231861,27.0462793686,-17.3137689045,1.56212546891,0.383928571429
time_slice,M5_TIME_WEEKDAY_Friday,T3,Friday,weekday,Friday,positive,DATA_UNAVAILABLE,251,1.21093632083,0.109079856246,27.3790439178,-26.9906285416,1.01439074958,0.354581673307
time_slice,M5_TIME_MONTH_01-January,T3,01-January,month,01-January,positive,DATA_UNAVAILABLE,72,1.12279544266,0.0573664508647,4.13038446226,-7.84432205706,0.526544477932,0.347222222222
