variant,dimension,category,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
BASELINE,instrument,CNYRUBF,527,0.343453510436,0.963258218331,-0.0197907652126,-10.429733267,-31.5930828032,-0.330127114596,112.457305503,12,0.0397318042169,0.14088076128
BASELINE,instrument,USDRUBF,604,0.402317880795,1.36026628195,0.162185403288,97.9599835858,-24.9726410236,3.92269217714,91.7715231788,12,0.0444925882235,0.125263529655
BASELINE,direction,LONG,648,0.385802469136,1.08192120021,0.0400248368192,25.9360942588,-41.0900719269,0.631200994366,100.023148148,15,0.0244742305043,0.0989463401184
BASELINE,direction,SHORT,483,0.360248447205,1.25752475466,0.127524132629,61.59415606,-30.1885447452,2.04031550973,103.271221532,15,0.0547141453039,0.167277503534
BASELINE,weekday,Monday,230,0.413043478261,1.46366854289,0.201148406009,46.264133382,-22.7361999615,2.03482259394,105.347826087,23,0.0574028438098,0.207555773148
BASELINE,weekday,Tuesday,200,0.42,1.14530259401,0.0655223017468,13.1044603494,-14.6929838742,0.891885573522,96.7,10,0.0701723074963,0.277769061403
BASELINE,weekday,Wednesday,221,0.316742081448,0.823605602705,-0.0958158515151,-21.1753031848,-33.9352234412,-0.623991859713,98.2352941176,17,0.0657179754635,0.261753867675
BASELINE,weekday,Thursday,224,0.383928571429,1.24392696854,0.12074231861,27.0462793686,-17.3137689045,1.56212546891,98.2366071429,16,0.0642580740321,0.235718230422
BASELINE,weekday,Friday,251,0.354581673307,1.21093632083,0.109079856246,27.3790439178,-26.9906285416,1.01439074958,108.446215139,13,0.104700431641,0.266852506993
BASELINE,session,Session_A,30,0.233333333333,0.412250170924,-0.37526147187,-11.2578441561,-13.029477157,-0.864028849387,39.8333333333,6,0.633226705046,0.985652864725
BASELINE,session,Session_B,818,0.382640586797,1.27449100465,0.133231745739,108.983568015,-24.3146215479,4.48222349667,78.4657701711,14,0.0325212334836,0.098998345954
BASELINE,session,Session_C,283,0.367491166078,0.926957514573,-0.0360264082686,-10.19547354,-28.0671125969,-0.363253380797,174.25795053,10,0.0647919808339,0.222953307877
BASELINE,EMA50_distance,near,18,0.444444444444,1.36168209933,0.152048911692,2.73688041046,-5.33907683405,0.512613040705,96.6666666667,6,0.302613910439,0.910995823731
BASELINE,EMA50_distance,normal,83,0.361445783133,1.0656655282,0.0318163390016,2.64075613713,-17.2844203908,0.152782452487,108.734939759,9,0.253502488019,0.536994923982
BASELINE,EMA50_distance,extended,1030,0.374757281553,1.16171986339,0.0797598191953,82.1526137712,-31.4219625765,2.61449658249,100.902912621,14,0.0278854241421,0.0813052995848
SESSION_CANDIDATE,instrument,CNYRUBF,379,0.353562005277,1.04345244214,0.0228001907399,8.64127229043,-19.8194004715,0.436000690477,76.5039577836,10,0.0523549608792,0.173095944973
SESSION_CANDIDATE,instrument,USDRUBF,435,0.411494252874,1.53815872638,0.240095622752,104.441595897,-17.6691854422,5.91094571046,80.6436781609,9,0.0551280236506,0.146401955386
SESSION_CANDIDATE,direction,LONG,466,0.388412017167,1.14980172924,0.0722144681906,33.6519421768,-33.2907953455,1.01084824882,80.0858369099,17,0.0272217632933,0.115105268282
SESSION_CANDIDATE,direction,SHORT,348,0.379310344828,1.47197087853,0.228249787387,79.4309260108,-20.3576605673,3.90177082225,76.882183908,16,0.066429815841,0.200065476195
SESSION_CANDIDATE,weekday,Monday,158,0.424050632911,1.55546034866,0.238324341399,37.6552459411,-17.287726935,2.17814904659,81.0759493671,21,0.0545778924733,0.252585640589
SESSION_CANDIDATE,weekday,Tuesday,144,0.409722222222,1.10054133621,0.0458166055121,6.59759119374,-15.6088596092,0.422682461047,75.3472222222,11,0.0952772786265,0.341783675409
SESSION_CANDIDATE,weekday,Wednesday,157,0.337579617834,1.03509985845,0.0182360509968,2.86306000649,-15.0869590115,0.189770516664,79.3630573248,10,0.0769557338762,0.306513717743
SESSION_CANDIDATE,weekday,Thursday,170,0.376470588235,1.24461660422,0.126395340979,21.4872079664,-17.1641404044,1.25186624324,79.6764705882,11,0.0810663565371,0.282107334121
SESSION_CANDIDATE,weekday,Friday,185,0.378378378378,1.49357039986,0.240431151783,44.4797630799,-19.9792927679,2.22629317247,77.8918918919,7,0.122263727623,0.308582071925
SESSION_CANDIDATE,session,Session_A,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
SESSION_CANDIDATE,session,Session_B,814,0.384520884521,1.28778699992,0.138922442491,113.082868188,-24.3146215479,4.65081753235,78.7162162162,14,0.0325212334836,0.098998345954
SESSION_CANDIDATE,session,Session_C,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
SESSION_CANDIDATE,EMA50_distance,near,15,0.466666666667,1.36523324402,0.15639983359,2.34599750385,-4.1952742389,0.559200035626,102.333333333,4,0.355573447243,0.953802273066
SESSION_CANDIDATE,EMA50_distance,normal,65,0.384615384615,1.17255575077,0.07964247395,5.17676080675,-11.0622649406,0.467965722621,95.2307692308,8,0.308838786455,0.567873368612
SESSION_CANDIDATE,EMA50_distance,extended,734,0.382833787466,1.29608828198,0.143814863593,105.560109877,-25.2863746405,4.17458458865,76.7711171662,13,0.0356142244737,0.0989638506937
