outcome,dimension,category,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
EARLY_FAILURE_NEGATIVE_AT_15_MIN,ALL,ALL,467,0,0,-0.895787343146,-418.332689249,-418.332689249,-1,68.1798715203,467,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session,Session_A,16,0,0,-0.891228236929,-14.2596517909,-14.2596517909,-1,18.4375,16,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session,Session_B,343,0,0,-0.905053358883,-310.433302097,-310.433302097,-1,42.3906705539,343,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session,Session_C,108,0,0,-0.86703458668,-93.6397353615,-93.6397353615,-1,157.453703704,108,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,instrument,CNYRUBF,232,0,0,-0.930441783031,-215.862493663,-215.862493663,-1,88.3836206897,232,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,instrument,USDRUBF,235,0,0,-0.861575300365,-202.470195586,-202.470195586,-1,48.2340425532,235,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,EMA50_distance,near,8,0,0,-0.85177658135,-6.8142126508,-6.8142126508,-1,54.375,8,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,EMA50_distance,normal,37,0,0,-0.851903675665,-31.5204359996,-31.5204359996,-1,61.7567567568,37,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,EMA50_distance,extended,422,0,0,-0.900469290518,-379.998040599,-379.998040599,-1,69.0047393365,422,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session_x_EMA50_distance,10:00-17:00|near,7,0,0,-0.887403396234,-6.21182377364,-6.21182377364,-1,53.5714285714,7,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session_x_EMA50_distance,10:00-17:00|normal,30,0,0,-0.850494848675,-25.5148454603,-25.5148454603,-1,59.1666666667,30,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session_x_EMA50_distance,10:00-17:00|extended,302,0,0,-0.90929580361,-274.60733269,-274.60733269,-1,40.6622516556,302,DATA_UNAVAILABLE,DATA_UNAVAILABLE
LONG_WINNER_120_MIN_PLUS,ALL,ALL,200,1,DATA_UNAVAILABLE,2.07392040773,414.784081546,0,DATA_UNAVAILABLE,242.825,0,0.0396747874315,0.124920054719
LONG_WINNER_120_MIN_PLUS,session,Session_A,1,1,DATA_UNAVAILABLE,5.00014717159,5.00014717159,0,DATA_UNAVAILABLE,220,0,1,1
LONG_WINNER_120_MIN_PLUS,session,Session_B,128,1,DATA_UNAVAILABLE,2.41505559437,309.127116079,0,DATA_UNAVAILABLE,204.0625,0,0.0532352854516,0.160327747404
LONG_WINNER_120_MIN_PLUS,session,Session_C,71,1,DATA_UNAVAILABLE,1.41770166613,100.656818295,0,DATA_UNAVAILABLE,313.028169014,0,0.0832855672075,0.284694112441
LONG_WINNER_120_MIN_PLUS,instrument,CNYRUBF,76,1,DATA_UNAVAILABLE,2.18570382182,166.113490459,0,DATA_UNAVAILABLE,287.565789474,0,0.065401708786,0.22478560487
LONG_WINNER_120_MIN_PLUS,instrument,USDRUBF,124,1,DATA_UNAVAILABLE,2.00540799264,248.670591087,0,DATA_UNAVAILABLE,215.403225806,0,0.066177790439,0.186315607748
LONG_WINNER_120_MIN_PLUS,EMA50_distance,near,6,1,DATA_UNAVAILABLE,1.25476672169,7.52860033015,0,DATA_UNAVAILABLE,176.666666667,0,0.414170516628,0.977013031995
LONG_WINNER_120_MIN_PLUS,EMA50_distance,normal,18,1,DATA_UNAVAILABLE,1.72014039715,30.9625271488,0,DATA_UNAVAILABLE,231.388888889,0,0.350879179732,0.737919973862
LONG_WINNER_120_MIN_PLUS,EMA50_distance,extended,176,1,DATA_UNAVAILABLE,2.13802814811,376.292954067,0,DATA_UNAVAILABLE,246.25,0,0.0437331342175,0.127112411194
LONG_WINNER_120_MIN_PLUS,session_x_EMA50_distance,10:00-17:00|near,6,1,DATA_UNAVAILABLE,1.25476672169,7.52860033015,0,DATA_UNAVAILABLE,176.666666667,0,0.414170516628,0.977013031995
LONG_WINNER_120_MIN_PLUS,session_x_EMA50_distance,10:00-17:00|normal,14,1,DATA_UNAVAILABLE,1.75629369844,24.5881117782,0,DATA_UNAVAILABLE,182.5,0,0.441843856349,0.784326693533
LONG_WINNER_120_MIN_PLUS,session_x_EMA50_distance,10:00-17:00|extended,108,1,DATA_UNAVAILABLE,2.56491114788,277.010403971,0,DATA_UNAVAILABLE,208.37962963,0,0.0594074086367,0.162680970744
