strategy,instrument,timeframe,dimension,segment,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,average_holding_hours
T3,USDRUBF,H1,YEAR,2023,34,2.11231535129,0.421874567673,14.3437353009,-5.0152150332,2.86004392751,0.5,33.3823529412
T3,USDRUBF,H1,YEAR,2024,28,2.0813695127,0.47542837138,13.3119943987,-4.33122339374,3.07349522028,0.428571428571,48.2142857143
T3,USDRUBF,H1,DIRECTION,LONG,43,2.18500865451,0.443166858516,19.0561749162,-6.56865206435,2.90107844494,0.511627906977,41.0697674419
T3,USDRUBF,H1,DIRECTION,SHORT,19,1.94245278506,0.452608146491,8.59955478332,-4.01336252539,2.14273062274,0.368421052632,37.8421052632
T3,CNYRUBF,H1,YEAR,2023,27,1.31278833582,0.172838359826,4.66663571531,-4.72922537267,0.986765346874,0.296296296296,32.8148148148
T3,CNYRUBF,H1,YEAR,2024,25,3.61306842799,0.928929138121,23.223228453,-3.79088774602,6.12606597951,0.52,43.08
T3,CNYRUBF,H1,DIRECTION,LONG,36,1.61390868612,0.290999359109,10.4759769279,-5.10969770313,2.05021461867,0.361111111111,38.4722222222
T3,CNYRUBF,H1,DIRECTION,SHORT,16,3.58273571957,1.08836795252,17.4138872404,-2.94342256674,5.9162036186,0.5,36.125
T3,USDRUBF,H4,YEAR,2023,8,1.69232575089,0.259971042785,2.07976834228,-1.00152013886,2.07661160429,0.625,185.25
T3,USDRUBF,H4,YEAR,2024,6,2.76154180431,0.990171678898,5.94103007339,-1.82089478779,3.26269815984,0.333333333333,106.833333333
T3,USDRUBF,H4,DIRECTION,LONG,10,4.10566274016,1.04740094153,10.4740094153,-1.37045446438,7.64272705696,0.6,192.7
T3,USDRUBF,H4,DIRECTION,SHORT,4,0.183381800308,-0.613302749899,-2.4532109996,-3.00411012211,-0.816618199692,0.25,49
T3,CNYRUBF,H4,YEAR,2023,6,0.224677038335,-0.497458866457,-2.98475319874,-2.98475319874,-1,0.333333333333,114.333333333
T3,CNYRUBF,H4,YEAR,2024,7,3.48936809852,1.12012701908,7.84088913355,-2.13496211853,3.67261276699,0.428571428571,165.285714286
T3,CNYRUBF,H4,DIRECTION,LONG,7,4.04934131576,1.23935853197,8.67550972377,-1.8302551682,4.74005476095,0.571428571429,222
T3,CNYRUBF,H4,DIRECTION,SHORT,6,0.0806430726364,-0.636562298161,-3.81937378896,-3.81937378896,-1,0.166666666667,48.1666666667
T3,USDRUBF,D1,YEAR,2023,0,,,0,0,,,
T3,USDRUBF,D1,YEAR,2024,2,0.512871981469,-0.080323821126,-0.160647642252,-0.329785264121,-0.487128018531,0.5,216
T3,USDRUBF,D1,DIRECTION,LONG,0,,,0,0,,,
T3,USDRUBF,D1,DIRECTION,SHORT,2,0.512871981469,-0.080323821126,-0.160647642252,-0.329785264121,-0.487128018531,0.5,216
T3,CNYRUBF,D1,YEAR,2023,0,,,0,0,,,
T3,CNYRUBF,D1,YEAR,2024,2,0,-0.662454150213,-1.32490830043,-1.32490830043,-1,0,252
T3,CNYRUBF,D1,DIRECTION,LONG,0,,,0,0,,,
T3,CNYRUBF,D1,DIRECTION,SHORT,2,0,-0.662454150213,-1.32490830043,-1.32490830043,-1,0,252
