configuration_id,Y2023_trades,Y2023_PF,Y2023_expectancy,Y2024_trades,Y2024_PF,Y2024_expectancy
T3_D10_ADX20_EMA100_ATR20_SL2.0_TR3.0,70,2.27404210359404,0.4289440188346224,69,3.039283822590966,0.6585392284134625
T3_D15_ADX20_EMA100_ATR20_SL2.0_TR3.0,63,1.8498699399290623,0.3357166369687978,58,2.973798804599993,0.6989468472418751
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.0,56,1.574255700771638,0.2701124525071036,53,2.6267383801218203,0.6677166988534158
T3_D30_ADX20_EMA100_ATR20_SL2.0_TR3.0,48,1.7988371871351363,0.3746189325933253,51,1.9739152809218552,0.4547608470140946
T3_D40_ADX20_EMA100_ATR20_SL2.0_TR3.0,47,1.7999207130543136,0.3684515892246819,47,1.953661168782824,0.4218196624473014
T3_D55_ADX20_EMA100_ATR20_SL2.0_TR3.0,44,2.052502359166816,0.4434809010716165,45,1.4331175864289214,0.2172936540881501
T3_D20_ADX15_EMA100_ATR20_SL2.0_TR3.0,58,1.4894487904914362,0.2349396311300618,60,2.4009275061820694,0.5856264080205611
T3_D20_ADX25_EMA100_ATR20_SL2.0_TR3.0,50,1.549564583929804,0.266193120356485,42,3.581138160555995,0.9004427000070194
T3_D20_ADX30_EMA100_ATR20_SL2.0_TR3.0,42,1.813197122194412,0.3839016792633642,27,5.917271953425262,1.4389328658279714
T3_D20_ADX20_EMA50_ATR20_SL2.0_TR3.0,64,1.5671115375618567,0.2663012544415049,55,2.6389776281334894,0.6758846022392451
T3_D20_ADX20_EMA75_ATR20_SL2.0_TR3.0,61,1.6834611105341784,0.3116454264950274,53,2.723550559188077,0.6893438273890836
T3_D20_ADX20_EMA150_ATR20_SL2.0_TR3.0,51,1.5278287941453417,0.2506270106036443,53,2.727775720013338,0.6764906198787533
T3_D20_ADX20_EMA200_ATR20_SL2.0_TR3.0,46,1.169399860775982,0.0874796239180428,50,2.8683992379487813,0.7166474392246183
T3_D20_ADX20_EMA100_ATR10_SL2.0_TR3.0,56,1.8981771307993789,0.3801144320482459,55,2.4219254140638697,0.6148150015503405
T3_D20_ADX20_EMA100_ATR30_SL2.0_TR3.0,54,1.3848485923443523,0.1833397509241482,61,2.0384854428326213,0.4698566669979798
T3_D20_ADX20_EMA100_ATR50_SL2.0_TR3.0,51,1.3959139040039088,0.199808601675136,58,2.0019988714239503,0.4535772827151013
T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.0,56,1.8748842341482577,0.4607119057477958,56,2.348964752665175,0.7158526264332966
T3_D20_ADX20_EMA100_ATR20_SL2.5_TR3.0,56,1.4219586270249571,0.175787286646943,53,2.401757622163901,0.5034137572610603
T3_D20_ADX20_EMA100_ATR20_SL3.0_TR3.0,55,1.5064870355634126,0.1748850664279539,53,2.365692982631525,0.4149490563690147
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.0,69,1.6203268868430645,0.1974789420417359,66,1.836823709245493,0.2793076249622003
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.5,63,1.4624669570732394,0.1823001874865413,58,2.2706390563791343,0.5109406593925088
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.5,53,1.4713027938341203,0.2458696579332621,49,2.892792989137703,0.8299385521501803
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR4.0,51,1.398530118874335,0.2169809720277194,46,3.830076171953318,1.2862373122497113
T3_D15_ADX20_EMA100_ATR20_SL1.5_TR2.5,70,2.0851574317138724,0.4161090785188834,66,2.408895720142277,0.6528448807551185
T3_D15_ADX20_EMA100_ATR20_SL1.5_TR3.0,63,2.1953458263630763,0.5305067984521562,61,2.581787198218433,0.7578980329083745
T3_D15_ADX20_EMA100_ATR20_SL1.5_TR3.5,59,2.08328708743323,0.5403846538454864,56,3.038261235499749,0.9874871755814424
T3_D15_ADX20_EMA100_ATR20_SL2.0_TR2.5,70,1.848884742796005,0.2753299431953669,64,2.528506899765415,0.5382637655939492
T3_D15_ADX20_EMA100_ATR20_SL2.0_TR3.5,59,1.701347472251361,0.3212994943154822,54,3.358959947881241,0.8818547381527777
T3_D15_ADX20_EMA100_ATR20_SL2.5_TR2.5,70,1.7518066897048097,0.2058849248266994,64,2.509621782407208,0.4284910452749924
T3_D15_ADX20_EMA100_ATR20_SL2.5_TR3.0,63,1.7083697634044233,0.2423983820442588,58,2.8098294999404128,0.5426259175983206
T3_D15_ADX20_EMA100_ATR20_SL2.5_TR3.5,59,1.500050692837038,0.2078585582387798,53,3.239460491472601,0.7108536442755231
T3_D20_ADX20_EMA100_ATR20_SL1.5_TR2.5,63,1.6757431107775531,0.3099598130718711,60,2.235582476942005,0.6254290335106875
T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.5,53,1.8467744585812385,0.4692449520842043,52,2.735678193395336,0.941120064253853
