configuration_id,LONG_trades,LONG_expectancy,SHORT_trades,SHORT_expectancy
T3_D10_ADX20_EMA100_ATR20_SL2.0_TR3.0,92,0.4682733166298072,47,0.6890243180640472
T3_D15_ADX20_EMA100_ATR20_SL2.0_TR3.0,80,0.4448261811961572,41,0.6366578237407422
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.0,74,0.3543949021746231,35,0.6940017033916207
T3_D30_ADX20_EMA100_ATR20_SL2.0_TR3.0,64,0.4064587145000579,35,0.4331758352627066
T3_D40_ADX20_EMA100_ATR20_SL2.0_TR3.0,61,0.4258450270735779,33,0.3383697629422716
T3_D55_ADX20_EMA100_ATR20_SL2.0_TR3.0,57,0.4271790057092784,32,0.1544428361152813
T3_D20_ADX15_EMA100_ATR20_SL2.0_TR3.0,80,0.3018977324643562,38,0.6476911707797042
T3_D20_ADX25_EMA100_ATR20_SL2.0_TR3.0,62,0.3625717425615986,30,0.9549600459766652
T3_D20_ADX30_EMA100_ATR20_SL2.0_TR3.0,48,0.566921801331751,21,1.3220386401186897
T3_D20_ADX20_EMA50_ATR20_SL2.0_TR3.0,79,0.370555951876242,40,0.6235753302297918
T3_D20_ADX20_EMA75_ATR20_SL2.0_TR3.0,79,0.3738247068879295,35,0.7432412006763336
T3_D20_ADX20_EMA150_ATR20_SL2.0_TR3.0,72,0.3839196990457661,32,0.6560550644707697
T3_D20_ADX20_EMA200_ATR20_SL2.0_TR3.0,65,0.2923608855994597,31,0.6726766805643872
T3_D20_ADX20_EMA100_ATR10_SL2.0_TR3.0,72,0.4570305085002226,39,0.5691035043065252
T3_D20_ADX20_EMA100_ATR30_SL2.0_TR3.0,76,0.2539716356643037,39,0.493839972469069
T3_D20_ADX20_EMA100_ATR50_SL2.0_TR3.0,71,0.2281235574735265,38,0.5342354869023009
T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.0,77,0.3833429635239147,35,1.0391487317371355
T3_D20_ADX20_EMA100_ATR20_SL2.5_TR3.0,74,0.2522447433522781,35,0.5102544622570406
T3_D20_ADX20_EMA100_ATR20_SL3.0_TR3.0,73,0.2350386740383303,35,0.412947298179918
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.0,93,0.2215659773021731,42,0.2727312942686407
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.5,81,0.2826881648086741,40,0.4555432176728754
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.5,69,0.4443800919928401,33,0.6980561993429018
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR4.0,64,0.8050636277910279,33,0.5669355684325644
T3_D15_ADX20_EMA100_ATR20_SL1.5_TR2.5,87,0.5433358730432818,49,0.5090852381917171
T3_D15_ADX20_EMA100_ATR20_SL1.5_TR3.0,82,0.512317527027174,42,0.8962778831825811
T3_D15_ADX20_EMA100_ATR20_SL1.5_TR3.5,76,0.6551262895338443,39,0.9587789334582638
T3_D15_ADX20_EMA100_ATR20_SL2.0_TR2.5,87,0.3892547522096566,47,0.422485395307411
T3_D15_ADX20_EMA100_ATR20_SL2.0_TR3.5,74,0.5725173458298879,39,0.6207831393192754
T3_D15_ADX20_EMA100_ATR20_SL2.5_TR2.5,87,0.3038989586607739,47,0.327577919829386
T3_D15_ADX20_EMA100_ATR20_SL2.5_TR3.0,80,0.3403427501564948,41,0.4759995433407638
T3_D15_ADX20_EMA100_ATR20_SL2.5_TR3.5,74,0.420004836829462,38,0.496277372560804
T3_D20_ADX20_EMA100_ATR20_SL1.5_TR2.5,82,0.4019316949028525,41,0.5876783232228103
T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.5,72,0.5340797659079336,33,1.071347959281575
T3_D20_ADX20_EMA100_ATR20_SL2.5_TR2.5,81,0.2148202937822156,40,0.35053265547842
T3_D20_ADX20_EMA100_ATR20_SL2.5_TR3.5,69,0.3030461836528865,32,0.5634695873269483
T3_D30_ADX20_EMA100_ATR20_SL1.5_TR2.5,71,0.4896627575186873,40,0.4182949585393668
T3_D30_ADX20_EMA100_ATR20_SL1.5_TR3.0,66,0.5106234871317603,36,0.6002026767986851
T3_D30_ADX20_EMA100_ATR20_SL1.5_TR3.5,62,0.6579965158472116,35,0.5377998398357077
T3_D30_ADX20_EMA100_ATR20_SL2.0_TR2.5,70,0.34572574147882,39,0.3136307448659842
T3_D30_ADX20_EMA100_ATR20_SL2.0_TR3.5,60,0.4921549714450184,34,0.3614067638583709
T3_D30_ADX20_EMA100_ATR20_SL2.5_TR2.5,70,0.2581374245737497,39,0.2631567362995979
T3_D30_ADX20_EMA100_ATR20_SL2.5_TR3.0,64,0.2864485341773163,34,0.4006581360262212
T3_D30_ADX20_EMA100_ATR20_SL2.5_TR3.5,60,0.3316261509341462,32,0.3759139109938353
T3_D20_ADX15_EMA75_ATR20_SL2.0_TR3.0,85,0.3230440903573273,37,0.7081099677222643
T3_D20_ADX15_EMA150_ATR20_SL2.0_TR3.0,75,0.3397324239076977,36,0.5642143906312609
T3_D20_ADX25_EMA75_ATR20_SL2.0_TR3.0,67,0.3719745804303015,30,1.0124061261421635
T3_D20_ADX25_EMA150_ATR20_SL2.0_TR3.0,62,0.3714527990577078,26,0.9884092888458672
