configuration_id,Si_trades,Si_PF,Si_expectancy,CNY_trades,CNY_PF,CNY_expectancy
T3_D10_ADX20_EMA100_ATR20_SL2.0_TR3.0,80,2.451762573776809,0.4616859124666564,59,2.8879946386762776,0.6530578827393215
T3_D15_ADX20_EMA100_ATR20_SL2.0_TR3.0,68,2.1702903834180867,0.4265291039613597,53,2.583481096748996,0.6166997396168026
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.0,61,1.7613921962680994,0.3362333671533808,48,2.4181782131535074,0.6251051454848459
T3_D30_ADX20_EMA100_ATR20_SL2.0_TR3.0,56,1.5291485046619486,0.2503063678887433,43,2.369245192390544,0.6315664037309027
T3_D40_ADX20_EMA100_ATR20_SL2.0_TR3.0,53,1.5813035063010004,0.2631085676113011,41,2.257428035685952,0.5658047498825431
T3_D55_ADX20_EMA100_ATR20_SL2.0_TR3.0,50,1.476929307975961,0.2176944477835403,39,2.0061786809403945,0.4719654279984834
T3_D20_ADX15_EMA100_ATR20_SL2.0_TR3.0,66,1.6120015090994948,0.2770576126919049,52,2.3226429262004404,0.5861207817136832
T3_D20_ADX25_EMA100_ATR20_SL2.0_TR3.0,55,1.8717623676225852,0.3792358939673051,37,3.0255482484470213,0.8181155472950618
T3_D20_ADX30_EMA100_ATR20_SL2.0_TR3.0,41,2.5343439330851183,0.6103247643131215,28,3.62276502904576,1.0697050917706623
T3_D20_ADX20_EMA50_ATR20_SL2.0_TR3.0,63,2.113419249138385,0.4546582102097496,56,1.946881189789757,0.4566690386464385
T3_D20_ADX20_EMA75_ATR20_SL2.0_TR3.0,62,2.097201589697924,0.4460601564439758,52,2.1715078818593145,0.5363435416979155
T3_D20_ADX20_EMA150_ATR20_SL2.0_TR3.0,56,1.8506188858169443,0.3682477725769621,48,2.351751410799995,0.583627190209373
T3_D20_ADX20_EMA200_ATR20_SL2.0_TR3.0,50,1.7506978782531473,0.3386297822499525,46,2.124952033087831,0.4983683814992014
T3_D20_ADX20_EMA100_ATR10_SL2.0_TR3.0,64,2.0112284510599694,0.4255344567565112,47,2.3561405978034315,0.5929154903734851
T3_D20_ADX20_EMA100_ATR30_SL2.0_TR3.0,63,1.662632085798637,0.2928803657067007,52,1.7892927706653563,0.3867334653318968
T3_D20_ADX20_EMA100_ATR50_SL2.0_TR3.0,60,1.552042269045328,0.2602891021014659,49,1.8809022348412547,0.426130101159589
T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.0,62,1.9163915673425267,0.4649309578188844,50,2.335505993865317,0.7412378883474069
T3_D20_ADX20_EMA100_ATR20_SL2.5_TR3.0,61,1.5732545192065548,0.2267393736477707,48,2.244450781021434,0.4727899040531454
T3_D20_ADX20_EMA100_ATR20_SL3.0_TR3.0,60,1.6613795110460725,0.2162760256307094,48,2.2042466986534905,0.3882170229844308
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.0,75,1.5401240292618297,0.1837671454609523,60,1.989195331443292,0.3046302389802264
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.5,66,1.6936672879313188,0.2653419619793967,55,2.0304089512324373,0.429216373923226
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.5,56,1.8904116914920337,0.4195195547179535,46,2.327707393682139,0.6566301274264421
T3_D20_ADX20_EMA100_ATR20_SL2.0_TR4.0,53,2.3472907840552573,0.6662797025873363,44,2.554538430902331,0.7936391295402636
T3_D15_ADX20_EMA100_ATR20_SL1.5_TR2.5,75,2.242919434386849,0.4718628473047929,61,2.2719808497856206,0.6036997389885277
T3_D15_ADX20_EMA100_ATR20_SL1.5_TR3.0,69,2.332742565363316,0.5691182318471583,55,2.4567329813510543,0.7342645511353225
T3_D15_ADX20_EMA100_ATR20_SL1.5_TR3.5,63,2.547379137334028,0.7025401878835067,52,2.5351839904546694,0.8254220110150682
T3_D15_ADX20_EMA100_ATR20_SL2.0_TR2.5,74,2.1062334790054336,0.3522568317608968,60,2.275723321196905,0.4609161911897012
T3_D15_ADX20_EMA100_ATR20_SL2.0_TR3.5,62,2.4546147095103152,0.5608294886514874,51,2.3643570836492738,0.6236352495778671
T3_D15_ADX20_EMA100_ATR20_SL2.5_TR2.5,74,2.027754379700468,0.2719462745076464,60,2.2228348352214784,0.3618557886983773
T3_D15_ADX20_EMA100_ATR20_SL2.5_TR3.0,68,1.9776612447458588,0.3128234949965663,53,2.481783412344858,0.4805925213155547
T3_D15_ADX20_EMA100_ATR20_SL2.5_TR3.5,61,2.27814009227499,0.4340601586388256,51,2.137106137756598,0.4600240863867134
T3_D20_ADX20_EMA100_ATR20_SL1.5_TR2.5,67,1.8282592926200707,0.369865366564027,56,2.0995907415324675,0.5762898334710592
