dimension,value,outcome,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R
session,Session_A,LOSER,60,54,-0.838622477674,-1.01275538052,1.17990306186,0.596449642021
session,Session_A,LOSER,120,54,-0.872280782712,-1.01656467646,1.19900609444,0.596449642021
session,Session_B,WINNER,5,475,0.216865855925,0.144758471836,0.202423357481,0.453439384105
session,Session_B,WINNER,15,475,0.577734236442,0.440738847298,0.275330484636,0.961293310655
session,Session_B,WINNER,30,475,0.963787002821,0.84947147451,0.313845420726,1.50266734797
session,Session_B,WINNER,60,475,1.3574095209,1.06153482571,0.331021584231,2.2053250579
session,Session_B,WINNER,120,475,1.70009741961,1.22077230581,0.33462174988,3.02838027109
session,Session_B,LOSER,5,879,-0.121251793958,-0.106308670173,0.371728359183,0.267585143682
session,Session_B,LOSER,15,879,-0.281472360061,-0.265507340244,0.650854032192,0.411615180655
session,Session_B,LOSER,30,879,-0.449285599342,-0.563225233182,0.814298372755,0.485419371731
session,Session_B,LOSER,60,879,-0.641062812213,-0.869298464072,0.956630449723,0.537372046648
session,Session_B,LOSER,120,879,-0.756137144243,-0.920205568735,1.00001452684,0.571213027686
session,Session_C,WINNER,5,179,0.118307838915,0,0.181261498138,0.340359606588
session,Session_C,WINNER,15,179,0.320587647162,0.174338866419,0.299210777627,0.680490389205
session,Session_C,WINNER,30,179,0.553229126067,0.450149100682,0.356624524351,1.06078074958
session,Session_C,WINNER,60,179,1.0009030777,0.785866666745,0.379947996307,1.63300392423
session,Session_C,WINNER,120,179,1.19055845536,0.848873397653,0.383442487118,2.12186256744
session,Session_C,LOSER,5,353,-0.176674991824,-0.107030147666,0.370634986067,0.190972831906
session,Session_C,LOSER,15,353,-0.250079277779,-0.207486935886,0.560229989934,0.304076933761
session,Session_C,LOSER,30,353,-0.412779972932,-0.396831525375,0.750639614563,0.396895883473
session,Session_C,LOSER,60,353,-0.572946539172,-0.611751480855,0.901546809167,0.432778440231
session,Session_C,LOSER,120,353,-0.680210713765,-0.807269704171,0.977186584439,0.4620779069
candidate,10:00-17:00,WINNER,5,475,0.216865855925,0.144758471836,0.202423357481,0.453439384105
candidate,10:00-17:00,WINNER,15,475,0.577734236442,0.440738847298,0.275330484636,0.961293310655
candidate,10:00-17:00,WINNER,30,475,0.963787002821,0.84947147451,0.313845420726,1.50266734797
candidate,10:00-17:00,WINNER,60,475,1.3574095209,1.06153482571,0.331021584231,2.2053250579
candidate,10:00-17:00,WINNER,120,475,1.70009741961,1.22077230581,0.33462174988,3.02838027109
candidate,10:00-17:00,LOSER,5,879,-0.121251793958,-0.106308670173,0.371728359183,0.267585143682
candidate,10:00-17:00,LOSER,15,879,-0.281472360061,-0.265507340244,0.650854032192,0.411615180655
candidate,10:00-17:00,LOSER,30,879,-0.449285599342,-0.563225233182,0.814298372755,0.485419371731
candidate,10:00-17:00,LOSER,60,879,-0.641062812213,-0.869298464072,0.956630449723,0.537372046648
candidate,10:00-17:00,LOSER,120,879,-0.756137144243,-0.920205568735,1.00001452684,0.571213027686
