dimension,value,checkpoint_minutes,criterion,trades,winners,losers,winner_loser_ratio,average_final_R
ALL,ALL,15,MAE_R > 0.5,840,131,709,0.184767277856,-0.53627922336
ALL,ALL,30,MAE_R > 0.5,1095,176,919,0.191512513602,-0.529171043229
instrument,USDRUBF,15,MAE_R > 0.5,432,79,353,0.223796033994,-0.43798529292
instrument,USDRUBF,30,MAE_R > 0.5,577,100,477,0.20964360587,-0.460539818599
instrument,CNYRUBF,15,MAE_R > 0.5,408,52,356,0.14606741573,-0.640355149707
instrument,CNYRUBF,30,MAE_R > 0.5,518,76,442,0.171945701357,-0.605619337847
direction,LONG,15,MAE_R > 0.5,466,88,378,0.232804232804,-0.507763819693
direction,LONG,30,MAE_R > 0.5,633,120,513,0.233918128655,-0.489678209722
direction,SHORT,15,MAE_R > 0.5,374,43,331,0.129909365559,-0.571809111351
direction,SHORT,30,MAE_R > 0.5,462,56,406,0.137931034483,-0.583281354075
session,Session_A,15,MAE_R > 0.5,39,4,35,0.114285714286,-0.729170217155
session,Session_A,30,MAE_R > 0.5,50,6,44,0.136363636364,-0.704585862797
session,Session_B,15,MAE_R > 0.5,581,84,497,0.169014084507,-0.545351926493
session,Session_B,30,MAE_R > 0.5,755,115,640,0.1796875,-0.522871868367
session,Session_C,15,MAE_R > 0.5,220,43,177,0.242937853107,-0.47812472664
session,Session_C,30,MAE_R > 0.5,290,55,235,0.234042553191,-0.515326684758
candidate,10:00-17:00,15,MAE_R > 0.5,581,84,497,0.169014084507,-0.545351926493
candidate,10:00-17:00,30,MAE_R > 0.5,755,115,640,0.1796875,-0.522871868367
