direction,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
LONG,147,1.45657902731,0.21466452237,31.5556847883,-15.3195775171,2.05982735184,0.408163265306,6,8
SHORT,177,0.976826950724,-0.0115719143192,-2.0482288345,-18.1977366715,-0.112554042927,0.35593220339,4,10
