omitted_fold,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
WF01,259,1.22335960712,0.106875048846,27.6806376511,-13.6481471103,2.02816085052,0.378378378378,4,9
WF02,233,1.21642383508,0.105734197543,24.6360680276,-11.9990530828,2.05316768394,0.37339055794,5,9
WF03,235,1.18801924315,0.0935793391163,21.9911446923,-13.6481471103,1.61129159253,0.391489361702,5,9
WF04,245,1.12068514069,0.0580184387364,14.2145174904,-13.6481471103,1.04149796859,0.375510204082,5,9
