month,total_trades,PF,expectancy,net_R,max_drawdown,win_rate,average_win,average_loss,recovery_factor
2025-01,4,0.905079343978,-0.0280597582833,-0.112239033133,-1.18245108954,0.5,0.535106028204,-0.59122554477,-0.094920656022
2025-02,19,3.16586347487,0.588548386845,11.1824193501,-1.65286420595,0.578947368421,1.48594999352,-0.645378822337,6.76547977131
2025-03,17,0.423071950157,-0.363227131647,-6.17486123799,-8.33155236236,0.352941176471,0.754689886262,-0.973000050506,-0.741141742791
2025-04,12,0.830531086337,-0.0853151238386,-1.02378148606,-4.36322517718,0.333333333333,1.25433380585,-0.755139588683,-0.234638700615
2025-05,16,0.641480985971,-0.247422466984,-3.95875947175,-6.28718094251,0.25,1.77080491535,-0.920164927763,-0.629655724552
2025-06,6,0,-0.859932139027,-5.15959283416,-5.15959283416,0,,-0.859932139027,-1
2025-07,25,4.08906265334,1.03840448446,25.9601121115,-3.40191608107,0.56,2.45457087113,-0.763989098573,7.63102660174
2025-08,10,1.35816900546,0.165989482376,1.65989482376,-2.86693889341,0.3,2.0980949101,-0.662055700936,0.578978096663
2025-09,23,7.42003435225,2.00083576014,46.0192224831,-3.27922343168,0.521739130435,4.43227394322,-0.651642257774,14.0335733267
2025-10,25,1.89905427192,0.31359159907,7.83978997676,-2.82492284988,0.56,1.18284505899,-0.792730986284,2.77522268514
2025-11,12,1.55940718552,0.270441214119,3.24529456943,-2.00016219242,0.416666666667,1.80932093891,-0.8287585893,1.62251570484
2025-12,17,0.653470261362,-0.151400540446,-2.57380918759,-3.41495878918,0.470588235294,0.606696761842,-0.825264809148,-0.753686748943
2026-01,15,2.14267965401,0.498159328378,7.47238992566,-4.24480348994,0.466666666667,2.00167809866,-0.817419595622,1.76036180317
2026-02,11,0.538858472607,-0.327630874356,-3.60393961792,-4.09115096896,0.272727272727,1.40377250983,-0.976907143425,-0.880910933199
2026-03,18,4.60063510271,0.982469578982,17.6844524217,-4.51145808543,0.666666666667,1.88299448714,-0.818580237338,3.91989731187
2026-04,19,1.96835726535,0.405369349108,7.70201763306,-2.86058307928,0.368421052632,2.23653027192,-0.662807855863,2.6924642353
2026-05,20,2.53755033439,0.695939669812,13.9187933962,-4.19190877374,0.3,3.82856179804,-0.646612670859,3.32039511056
2026-06,32,2.19764078895,0.493119293621,15.7798173959,-7.79610113223,0.46875,1.9303712583,-0.775044204622,2.02406525111
2026-07,23,0.750564480702,-0.111613141199,-2.56710224757,-3.73827368123,0.434782608696,0.772454448661,-0.791665133399,-0.686707947699
2026-08,30,3.34805196503,0.822437415409,24.6731224623,-5.42767824126,0.5,2.34540227029,-0.700527439475,4.54579681506
2026-09,15,0.825249415293,-0.0994054836556,-1.49108225483,-6.61683079097,0.333333333333,1.40830974731,-0.853263099136,-0.225346892181
