direction,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,average_holding_hours,average_MAE_R,average_MFE_R
LONG,0,,,0,0,,,,,
SHORT,2,0,-0.662454150212,-1.32490830042,-1.32490830042,-1,0,252,0.655661939645,0.807221327464
