parameter,value,configurations,positive_share,mean_expectancy_R,min_expectancy_R,max_expectancy_R
ema_fast,15,1,1,0.022037200322,0.022037200322,0.022037200322
ema_fast,20,16,0.875,0.0504219786618,-0.0118536012279,0.154213811153
ema_fast,25,1,1,0.0320160434258,0.0320160434258,0.0320160434258
ema_fast,30,1,1,0.0888541525385,0.0888541525385,0.0888541525385
ema_trend,40,1,1,0.0481835965784,0.0481835965784,0.0481835965784
ema_trend,50,17,0.882352941176,0.0498723026345,-0.0118536012279,0.154213811153
ema_trend,60,1,1,0.0536463135103,0.0536463135103,0.0536463135103
ema_slow,150,1,1,0.0527789385082,0.0527789385082,0.0527789385082
ema_slow,200,17,0.882352941176,0.0486569374548,-0.0118536012279,0.154213811153
ema_slow,250,1,1,0.0697121796362,0.0697121796362,0.0697121796362
adx_threshold,15,1,0,-0.0118536012279,-0.0118536012279,-0.0118536012279
adx_threshold,20,16,0.9375,0.0550303211345,-0.00208221585278,0.154213811153
adx_threshold,25,1,1,0.0190655294553,0.0190655294553,0.0190655294553
adx_threshold,30,1,1,0.0619619884964,0.0619619884964,0.0619619884964
impulse_distance_atr,0.3,1,1,0.0465044154638,0.0465044154638,0.0465044154638
impulse_distance_atr,0.5,17,0.882352941176,0.0502875910176,-0.0118536012279,0.154213811153
impulse_distance_atr,0.7,1,1,0.048265592113,0.048265592113,0.048265592113
confirmation_window,2,1,1,0.0497668803879,0.0497668803879,0.0497668803879
confirmation_window,3,17,0.882352941176,0.0505122738201,-0.0118536012279,0.154213811153
confirmation_window,4,1,1,0.0411835195451,0.0411835195451,0.0411835195451
max_initial_stop_atr,2,1,1,0.0661918638289,0.0661918638289,0.0661918638289
max_initial_stop_atr,2.5,17,0.882352941176,0.049134706593,-0.0118536012279,0.154213811153
max_initial_stop_atr,3,1,1,0.0481771789659,0.0481771789659,0.0481771789659
trailing_atr,2,1,0,-0.00208221585278,-0.00208221585278,-0.00208221585278
trailing_atr,3,17,0.941176470588,0.046913379975,-0.0118536012279,0.0888541525385
trailing_atr,4,1,1,0.154213811153,0.154213811153,0.154213811153
