direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,median_R,max_losing_streak,max_winning_streak
LONG,73,0.896007280207,-0.0567355895881,-4.14169803993,-11.2806296203,-0.367151318617,0.328767123288,-0.67086501272,9,3
SHORT,55,1.64923056419,0.279041212191,15.3472666705,-7.84197751328,1.95706588606,0.454545454545,-0.367560480251,7,6
