trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe,fold_id,net_R
T2-M15-WF01-test-Si-000008,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-02-21 16:30:00+03:00,2024-02-21 16:45:00+03:00,2024-02-21 16:45:00+03:00,92.59,92.452863619,0.137136381024,137.136381024,2024-02-21 18:15:00+03:00,92.5,EMA50_TREND_LOSS,6,-0.656280990705,0.0145840220157,-0.67086501272,0.802121210861,0.145840220157,2024-02-21 15:00:00+03:00,1,7415.66612829,USDRUBF,T2,M15,WF01,-0.67086501272
T2-M15-WF01-test-CNY-000009,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-02-22 12:30:00+03:00,2024-02-22 12:45:00+03:00,2024-02-22 12:45:00+03:00,12.82,12.8007252955,0.0192747044717,19.2747044717,2024-02-22 14:00:00+03:00,12.8071084098,ATR_TRAILING_STOP,5,-0.668834646988,0.103762939812,-0.7725975868,0.155644409719,1.40079968747,2024-02-22 12:15:00+03:00,1,49355.59696,CNYRUBF,T2,M15,WF01,-0.7725975868
T2-M15-WF01-test-CNY-000010,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-02-26 18:15:00+03:00,2024-02-26 18:45:00+03:00,2024-02-26 18:45:00+03:00,12.76,12.7819445501,0.0219445501195,21.9445501195,2024-02-27 09:15:00+03:00,12.7745131951,ATR_TRAILING_STOP,22,-0.661357604906,0.0911388016209,-0.752496406527,0.410124607294,0.410124607294,2024-02-26 18:00:00+03:00,2,43015.9063215,CNYRUBF,T2,M15,WF01,-0.752496406527
T2-M15-WF01-test-Si-000009,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-03-04 14:00:00+03:00,2024-03-04 14:15:00+03:00,2024-03-04 14:15:00+03:00,91.49,91.5871005756,0.0971005756183,97.1005756183,2024-03-04 22:45:00+03:00,91.3020424299,ATR_TRAILING_STOP,34,1.93569985499,0.0205972002459,1.91510265474,0.926874011065,3.81048204549,2024-03-04 13:45:00+03:00,1,10402.9785245,USDRUBF,T2,M15,WF01,1.91510265474
T2-M15-WF01-test-CNY-000011,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-03-06 15:15:00+03:00,2024-03-06 15:30:00+03:00,2024-03-06 15:30:00+03:00,12.521,12.5513522242,0.0303522241755,30.3522241755,2024-03-06 16:00:00+03:00,12.548,EMA50_TREND_LOSS,2,-0.889555896922,0.0658930294016,-0.955448926324,0.889555896922,0.0329465147009,2024-03-06 14:00:00+03:00,1,30866.3182722,CNYRUBF,T2,M15,WF01,-0.955448926324
T2-M15-WF01-test-CNY-000012,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-03-11 10:45:00+03:00,2024-03-11 11:00:00+03:00,2024-03-11 11:00:00+03:00,12.61,12.5858818898,0.0241181102044,24.1181102044,2024-03-11 13:45:00+03:00,12.5932805328,ATR_TRAILING_STOP,11,-0.693232887417,0.0829252368054,-0.776158124222,0.621939276041,0.539014039235,2024-03-11 10:00:00+03:00,1,38473.5856792,CNYRUBF,T2,M15,WF01,-0.776158124222
T2-M15-WF01-test-CNY-000013,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-03-15 10:30:00+03:00,2024-03-15 10:45:00+03:00,2024-03-15 10:45:00+03:00,12.722,12.7050236857,0.0169763142972,16.9763142972,2024-03-15 22:30:00+03:00,12.8291093697,ATR_TRAILING_STOP,47,6.30934181651,0.117811202419,6.19153061409,0.235622404839,8.30568977057,2024-03-15 10:00:00+03:00,1,54234.865885,CNYRUBF,T2,M15,WF01,6.19153061409
T2-M15-WF01-test-Si-000010,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-03-20 11:45:00+03:00,2024-03-20 12:00:00+03:00,2024-03-20 12:00:00+03:00,92.75,92.6013430172,0.148656982765,148.656982765,2024-03-20 15:00:00+03:00,92.7625671392,ATR_TRAILING_STOP,12,0.0845378328606,0.013453791156,0.0710840417046,0.13453791156,1.74899285028,2024-03-20 11:15:00+03:00,1,6925.20667253,USDRUBF,T2,M15,WF01,0.0710840417046
T2-M15-WF01-test-Si-000011,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-03-22 16:15:00+03:00,2024-03-22 16:30:00+03:00,2024-03-22 16:30:00+03:00,92.86,92.6674800722,0.192519927763,192.519927763,2024-03-22 23:30:00+03:00,93.1092987142,ATR_TRAILING_STOP,28,1.29492420408,0.0103885349597,1.28453566912,0.727197447177,3.1685031627,2024-03-22 16:00:00+03:00,1,5351.19733921,USDRUBF,T2,M15,WF01,1.28453566912
T2-M15-WF01-test-CNY-000014,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-03-25 10:30:00+03:00,2024-03-25 10:45:00+03:00,2024-03-25 10:45:00+03:00,12.803,12.7699551273,0.0330448727353,33.0448727353,2024-03-25 13:30:00+03:00,12.786,EMA50_TREND_LOSS,11,-0.51445197372,0.0605237616142,-0.574975735335,0.272356927264,0.756547020177,2024-03-23 00:00:00+03:00,1,29587.46619,CNYRUBF,T2,M15,WF01,-0.574975735335
T2-M15-WF01-test-Si-000012,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-03-27 19:15:00+03:00,2024-03-27 19:45:00+03:00,2024-03-27 19:45:00+03:00,92.17,92.3920533355,0.222053335513,222.053335513,2024-03-28 09:45:00+03:00,92.2551603475,ATR_TRAILING_STOP,20,-0.383513029877,0.00900684511393,-0.39251987499,0.360273804557,0.450342255696,2024-03-27 19:00:00+03:00,2,4699.07630522,USDRUBF,T2,M15,WF01,-0.39251987499
