fold_id,train_start,train_end,test_start,test_end,initial_state,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,median_R,max_losing_streak,max_winning_streak,LONG_trades,SHORT_trades,USDRUBF_trades,CNYRUBF_trades,positive_fold
WF01,2023-01-03T09:15:00+03:00,2024-02-01T00:00:00+03:00,2024-02-01T00:00:00+03:00,2024-05-01T00:00:00+03:00,FLAT,43,1.12359318874,0.0599897802946,2.57956055267,-6.29171764054,0.409993057547,0.302325581395,-0.574975735335,8,3,22,21,19,24,True
WF02,2023-01-03T09:15:00+03:00,2024-05-01T00:00:00+03:00,2024-05-01T00:00:00+03:00,2024-08-01T00:00:00+03:00,FLAT,42,1.81208441027,0.324673592265,13.6362908751,-7.38458980371,1.84658745274,0.547619047619,0.159573726005,6,7,16,26,22,20,True
WF03,2023-01-03T09:15:00+03:00,2024-08-01T00:00:00+03:00,2024-08-01T00:00:00+03:00,2024-11-01T00:00:00+03:00,FLAT,43,0.80582461187,-0.116518204587,-5.01028279725,-8.81561221916,-0.568342013316,0.302325581395,-0.744138465798,9,3,35,8,25,18,False
