instrument,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,median_R,max_losing_streak,max_winning_streak
USDRUBF,66,1.28261401365,0.136602343555,9.01575467464,-15.4614749018,0.583110908366,0.393939393939,-0.534415766365,10,6
CNYRUBF,62,1.06937547659,0.0353195799343,2.18981395592,-8.22563125802,0.266218346925,0.370967741935,-0.561955778186,12,3
