dimension,value,outcome,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R
ALL,ALL,WINNER,5,251,0.200669714481,0.103221428776,0.1885275711,0.422034396659
ALL,ALL,WINNER,15,251,0.542092159498,0.350383460495,0.271981342123,0.932745925051
ALL,ALL,WINNER,30,251,0.888923572762,0.619998755355,0.319026184918,1.43298262333
ALL,ALL,WINNER,60,251,1.47541955331,1.12206915138,0.331340281597,2.28661529379
ALL,ALL,WINNER,120,251,1.94756170873,1.26501981287,0.334454391769,3.20833425276
ALL,ALL,LOSER,5,579,-0.138549055052,-0.103424773235,0.369928063055,0.233257370043
ALL,ALL,LOSER,15,579,-0.26880754761,-0.238921628297,0.647369658307,0.39371607307
ALL,ALL,LOSER,30,579,-0.442752889448,-0.549433768462,0.803115210713,0.464219789118
ALL,ALL,LOSER,60,579,-0.647955490548,-0.824958466171,0.95476419043,0.504694813418
ALL,ALL,LOSER,120,579,-0.739691145024,-0.886479242054,0.996664713359,0.534890653262
instrument,USDRUBF,WINNER,5,150,0.201778789236,0.115498064813,0.176092771047,0.432996747031
instrument,USDRUBF,WINNER,15,150,0.586639925779,0.394091066418,0.254243563274,0.990636188018
instrument,USDRUBF,WINNER,30,150,0.940946123577,0.706035420912,0.294178746915,1.49020060572
instrument,USDRUBF,WINNER,60,150,1.49470170506,1.12875243396,0.307191824134,2.30572532111
instrument,USDRUBF,WINNER,120,150,1.88015301687,1.25087142116,0.311778569781,3.05407765947
instrument,USDRUBF,LOSER,5,306,-0.0942467652819,-0.0951532077222,0.3448773908,0.268890187619
instrument,USDRUBF,LOSER,15,306,-0.217395934977,-0.214667962203,0.642572649192,0.43512930484
instrument,USDRUBF,LOSER,30,306,-0.407945286245,-0.548197000439,0.810617070202,0.511490054562
instrument,USDRUBF,LOSER,60,306,-0.626774733984,-0.769125793037,0.977691560353,0.548208945823
instrument,USDRUBF,LOSER,120,306,-0.698912428543,-0.823649730363,1.02145845014,0.575015656031
instrument,CNYRUBF,WINNER,5,101,0.199022573755,0.0499954688291,0.206995095932,0.405753678284
instrument,CNYRUBF,WINNER,15,101,0.475932110566,0.315061942081,0.298324578037,0.846770286982
instrument,CNYRUBF,WINNER,30,101,0.811662358681,0.53909531616,0.355928320568,1.34800542176
instrument,CNYRUBF,WINNER,60,101,1.44678269428,1.10326370855,0.367204327334,2.25823406508
instrument,CNYRUBF,WINNER,120,101,2.04767362734,1.31208925569,0.368131355118,3.43742820319
instrument,CNYRUBF,LOSER,5,273,-0.188206566662,-0.115448932882,0.398006838549,0.193317288805
instrument,CNYRUBF,LOSER,15,273,-0.326433750782,-0.313945085123,0.652746525666,0.347296846252
instrument,CNYRUBF,LOSER,30,273,-0.481768005126,-0.553785735659,0.794706533043,0.411235535544
