dimension,value,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R,average_price_movement,percent_profitable,percent_stopped,percent_still_open
ALL,ALL,5,830,-0.0359660295666,0,0.315070805849,0.290345362429,-0.00140120481928,37.7108433735,3.25301204819,93.2530120482
ALL,ALL,15,830,-0.02358366028,-0.0472785259165,0.533848613292,0.556723895778,0.00135301204819,40.2409638554,13.4939759036,79.7590361446
ALL,ALL,30,830,-0.04004109184,-0.162395318675,0.656722023394,0.757183007656,0.00284698795181,41.4457831325,23.9759036145,65.5421686747
ALL,ALL,60,830,-0.00582641101935,-0.434412257952,0.766234791494,1.04356474182,0.00444939759036,36.1445783133,41.0843373494,44.4578313253
ALL,ALL,120,830,0.072960019184,-0.563751746378,0.79640592936,1.34336576588,0.0109759036145,33.0120481928,58.6746987952,24.578313253
instrument,USDRUBF,5,456,0.00313006186219,0,0.289356134302,0.322872608478,-0.00120614035088,42.1052631579,2.85087719298,94.298245614
instrument,USDRUBF,15,456,0.0470895455347,-0.0498481540541,0.514832818298,0.617861832201,0.00388157894737,43.8596491228,13.3771929825,80.9210526316
instrument,USDRUBF,30,456,0.0357689933017,-0.128968031085,0.640736042805,0.83343431481,0.0069298245614,45.8333333333,25,66.0087719298
instrument,USDRUBF,60,456,0.0710793578076,-0.392751767257,0.757132436597,1.12633933243,0.00890350877193,37.7192982456,44.7368421053,43.4210526316
instrument,USDRUBF,120,456,0.149464362711,-0.528987025781,0.788011121074,1.39049657822,0.0192324561404,35.0877192982,62.2807017544,23.9035087719
instrument,CNYRUBF,5,374,-0.0836339913087,0,0.346423453511,0.250686474199,-0.00163903743316,32.3529411765,3.74331550802,91.9786096257
instrument,CNYRUBF,15,374,-0.109752060952,-0.0413073867987,0.557033646761,0.482181385058,-0.00172994652406,35.8288770053,13.6363636364,78.3422459893
instrument,CNYRUBF,30,374,-0.132472639499,-0.245237228774,0.676212951599,0.664213499468,-0.00213101604278,36.0962566845,22.7272727273,64.9732620321
instrument,CNYRUBF,60,374,-0.0995938724768,-0.475376531136,0.777332849871,0.942641711551,-0.00098128342246,34.2245989305,36.6310160428,45.7219251337
instrument,CNYRUBF,120,374,-0.0203180039404,-0.627153383521,0.806641310586,1.28590145993,0.000909090909091,30.4812834225,54.2780748663,25.4010695187
direction,LONG,5,470,-0.0149078595697,0,0.30272012175,0.281163374391,-8.29787234041e-05,39.1489361702,2.55319148936,94.0425531915
direction,LONG,15,470,0.0236894223105,0,0.505008473028,0.565046501994,0.00857872340426,42.5531914894,12.3404255319,81.0638297872
direction,LONG,30,470,0.00891592883555,-0.128968031085,0.629851950176,0.782198215033,0.0113404255319,42.1276595745,22.5531914894,67.2340425532
direction,LONG,60,470,0.0460894989187,-0.383226806374,0.744931927256,1.07823300534,0.0157638297872,38.5106382979,41.0638297872,44.4680851064
direction,LONG,120,470,0.102728483459,-0.462242212507,0.764815333776,1.35838216248,0.0240787234043,35.3191489362,57.6595744681,25.5319148936
direction,SHORT,5,360,-0.063458640396,-0.0307404252942,0.33119531009,0.302332957924,-0.00312222222222,35.8333333333,4.16666666667,92.2222222222
direction,SHORT,15,360,-0.0853012958843,-0.0929815295117,0.571501018638,0.545858270995,-0.00808055555556,37.2222222222,15,78.0555555556
direction,SHORT,30,360,-0.103957202166,-0.268832889405,0.691802396762,0.724524264691,-0.00824166666667,40.5555555556,25.8333333333,63.3333333333
direction,SHORT,60,360,-0.0736055156607,-0.503963649906,0.794046864249,0.998303397771,-0.0103222222222,33.0555555556,41.1111111111,44.4444444444
direction,SHORT,120,360,0.0340956352689,-0.659346526232,0.837649206929,1.32376102588,-0.00613055555556,30,60,23.3333333333
session,Session_A,5,45,-0.000108453784681,0,0.379830833868,0.332534417088,-0.00653333333333,46.6666666667,6.66666666667,86.6666666667
session,Session_A,15,45,-0.043441741296,-0.239243895711,0.69506386132,0.804011037212,-0.0121555555556,37.7777777778,20,66.6666666667
