portfolio_id,top_1_trade_R,top_1_contribution,top_5_trade_R,top_5_contribution,net_R_without_best_trade,net_R_without_top_5_trades
A,12.9932280859,0.303171478037,37.4005276301,0.872667913317,29.8644581649,5.45715862071
B,7.23850694164,0.126479480509,29.1512011923,0.509363161873,49.9921751618,28.0794809111
C,6.49661404295,0.129817563215,20.1023244255,0.401691520325,43.5475701342,29.9418597516
D,6.25369077014,0.124295961857,19.844687466,0.394425405253,44.0592130177,30.4682163218
