portfolio_id,exit_time,strategy,trade_id,trade_R,cumulative_R
A,2025-01-27T16:00:00+00:00,T2,CNY-000001,0.514890326204,0.514890326204
A,2025-01-28T07:00:00+00:00,T2,Si-000001,1.05266146905,1.56755179525
A,2025-01-31T15:00:00+00:00,T2,Si-000002,-1.00589366541,0.561658129844
A,2025-02-26T11:00:00+00:00,T2,CNY-000002,1.86281945815,2.42447758799
A,2025-03-11T19:00:00+00:00,T2,Si-000003,1.27257695319,3.69705454118
A,2025-03-12T12:00:00+00:00,T2,CNY-000003,-0.655272345488,3.0417821957
A,2025-03-12T12:00:00+00:00,T2,Si-000004,-1.00183290169,2.03994929401
A,2025-03-19T08:00:00+00:00,T2,CNY-000004,-0.807636567066,1.23231272694
A,2025-04-15T15:00:00+00:00,T2,CNY-000005,-0.201299514311,1.03101321263
A,2025-04-18T10:00:00+00:00,T2,Si-000005,2.41796328618,3.44897649881
A,2025-04-21T13:00:00+00:00,T2,CNY-000006,-0.79166359114,2.65731290767
A,2025-04-23T07:00:00+00:00,T2,Si-000006,0.248710276963,2.90602318463
A,2025-05-16T09:00:00+00:00,T2,Si-000007,-0.297235434235,2.6087877504
A,2025-05-30T14:00:00+00:00,T2,Si-000008,-1.00507344434,1.60371430606
A,2025-06-02T07:00:00+00:00,T2,CNY-000007,-0.709733384895,0.893980921162
A,2025-07-04T13:00:00+00:00,T2,CNY-000008,-0.912305694752,-0.01832477359
A,2025-07-04T13:00:00+00:00,T2,Si-000009,-0.628788161634,-0.647112935224
A,2025-07-17T07:00:00+00:00,T2,Si-000010,0.15071308202,-0.496399853204
A,2025-07-18T07:00:00+00:00,T2,Si-000011,-0.98013068438,-1.47653053758
A,2025-07-24T11:00:00+00:00,T2,CNY-000009,3.23250295756,1.75597241998
A,2025-07-29T12:00:00+00:00,T2,CNY-000010,4.82847595474,6.58444837472
A,2025-07-29T12:00:00+00:00,T2,Si-000012,6.72281966529,13.30726804
A,2025-08-20T08:00:00+00:00,T2,CNY-000011,-0.472907599148,12.8343604409
A,2025-08-20T08:00:00+00:00,T2,Si-000013,-0.79716158859,12.0371988523
A,2025-08-25T12:00:00+00:00,T2,Si-000014,-1.01222370907,11.0249751432
A,2025-08-28T13:00:00+00:00,T2,CNY-000012,-0.787162028327,10.2378131149
A,2025-10-02T14:00:00+00:00,T2,CNY-000013,-1.04887781657,9.1889352983
A,2025-10-02T14:00:00+00:00,T2,Si-000015,-1.00915294772,8.17978235058
A,2025-10-03T08:00:00+00:00,T2,CNY-000014,-1.02818440505,7.15159794553
A,2025-10-03T08:00:00+00:00,T2,Si-000016,-1.00465877357,6.14693917196
A,2025-10-29T11:00:00+00:00,T2,CNY-000015,-0.611448274005,5.53549089796
A,2025-10-29T11:00:00+00:00,T2,Si-000017,-0.62767072257,4.90782017539
A,2025-11-17T08:00:00+00:00,T2,CNY-000016,-1.06840176724,3.83941840815
A,2025-11-25T11:00:00+00:00,T2,Si-000018,5.38645159338,9.22587000153
A,2025-11-28T07:00:00+00:00,T2,CNY-000017,0.410828231911,9.63669823344
A,2025-11-28T08:00:00+00:00,T2,Si-000019,0.2032603885,9.83995862194
