portfolio_id,T2_weight,T3_weight,total_trades,PF,expectancy,net_R,win_rate,max_drawdown,recovery_factor,average_holding_hours,losing_streak,drawdown_duration_trades,volatility_daily_R,sharpe_like_R,worst_month_R,worst_quarter_R
A,1,0,69,2.40553629688,0.621125887693,42.8576862508,0.434782608696,-9.46784963186,4.5266547228,41.8985507246,11,24,3.41740880568,3.7562646902,-5.32999293948,-0.579325787607
B,0,1,97,2.67722820365,0.590007031994,57.2306821034,0.443298969072,-11.4999386679,4.97660759386,31.9175257732,10,28,3.17105120198,4.69673549658,-3.93294992688,-4.44748953228
C,0.5,0.5,166,2.54901428581,0.301470989019,50.0441841771,0.439759036145,-5.31228439674,9.42046404892,36.0662650602,9,42,1.93751870699,4.18390585963,-1.91483075801,-2.39291066903
D,0.48130385527,0.51869614473,166,2.55406722897,0.303089781854,50.3129037878,0.439759036145,-5.36779199455,9.37310980733,36.0662650602,9,42,1.93843910231,4.20437471934,-1.94287452291,-2.4697360766
