portfolio_id,exit_time,equity_R,drawdown_R
A,2025-01-27T16:00:00+00:00,0.514890326204,0
A,2025-01-28T07:00:00+00:00,1.56755179525,0
A,2025-01-31T15:00:00+00:00,0.561658129844,-1.00589366541
A,2025-02-26T11:00:00+00:00,2.42447758799,0
A,2025-03-11T19:00:00+00:00,3.69705454118,0
A,2025-03-12T12:00:00+00:00,3.0417821957,-0.655272345488
A,2025-03-12T12:00:00+00:00,2.03994929401,-1.65710524718
A,2025-03-19T08:00:00+00:00,1.23231272694,-2.46474181424
A,2025-04-15T15:00:00+00:00,1.03101321263,-2.66604132855
A,2025-04-18T10:00:00+00:00,3.44897649881,-0.248078042375
A,2025-04-21T13:00:00+00:00,2.65731290767,-1.03974163351
A,2025-04-23T07:00:00+00:00,2.90602318463,-0.791031356552
A,2025-05-16T09:00:00+00:00,2.6087877504,-1.08826679079
A,2025-05-30T14:00:00+00:00,1.60371430606,-2.09334023513
A,2025-06-02T07:00:00+00:00,0.893980921162,-2.80307362002
A,2025-07-04T13:00:00+00:00,-0.01832477359,-3.71537931477
A,2025-07-04T13:00:00+00:00,-0.647112935224,-4.34416747641
A,2025-07-17T07:00:00+00:00,-0.496399853204,-4.19345439439
A,2025-07-18T07:00:00+00:00,-1.47653053758,-5.17358507877
A,2025-07-24T11:00:00+00:00,1.75597241998,-1.94108212121
A,2025-07-29T12:00:00+00:00,6.58444837472,0
A,2025-07-29T12:00:00+00:00,13.30726804,0
A,2025-08-20T08:00:00+00:00,12.8343604409,-0.472907599148
A,2025-08-20T08:00:00+00:00,12.0371988523,-1.27006918774
A,2025-08-25T12:00:00+00:00,11.0249751432,-2.28229289681
A,2025-08-28T13:00:00+00:00,10.2378131149,-3.06945492514
A,2025-10-02T14:00:00+00:00,9.1889352983,-4.11833274171
A,2025-10-02T14:00:00+00:00,8.17978235058,-5.12748568943
A,2025-10-03T08:00:00+00:00,7.15159794553,-6.15567009448
A,2025-10-03T08:00:00+00:00,6.14693917196,-7.16032886805
A,2025-10-29T11:00:00+00:00,5.53549089796,-7.77177714205
A,2025-10-29T11:00:00+00:00,4.90782017539,-8.39944786462
A,2025-11-17T08:00:00+00:00,3.83941840815,-9.46784963186
A,2025-11-25T11:00:00+00:00,9.22587000153,-4.08139803848
A,2025-11-28T07:00:00+00:00,9.63669823344,-3.67056980657
A,2025-11-28T08:00:00+00:00,9.83995862194,-3.46730941807
A,2025-12-17T15:00:00+00:00,10.5605068313,-2.74676120868
A,2025-12-19T10:00:00+00:00,11.2831361203,-2.02413191974
A,2025-12-26T08:00:00+00:00,11.833492216,-1.47377582405
A,2025-12-29T08:00:00+00:00,11.235371441,-2.07189659902
A,2025-12-29T08:00:00+00:00,10.7641096883,-2.54315835169
