variant,session,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
BASELINE,Session_A,30,0.412250170924,-0.37526147187,-11.2578441561,-13.029477157,-0.864028849387,0.233333333333
BASELINE,Session_B,818,1.27449100465,0.133231745739,108.983568015,-24.2580243788,4.49268111505,0.382640586797
BASELINE,Session_C,283,0.926957514573,-0.0360264082686,-10.19547354,-28.0671125969,-0.363253380797,0.367491166078
SESSION_FILTER,10:00-17:00,814,1.28778699992,0.138922442491,113.082868188,-24.2580243788,4.66166850283,0.384520884521
