variant,weekday,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
BASELINE,Monday,230,1.46366854289,0.201148406009,46.264133382,-23.2398023263,1.99072835184,0.413043478261
BASELINE,Tuesday,200,1.14530259401,0.0655223017468,13.1044603494,-14.6929838742,0.891885573522,0.42
BASELINE,Wednesday,221,0.823605602705,-0.0958158515151,-21.1753031848,-33.9352234412,-0.623991859713,0.316742081448
BASELINE,Thursday,224,1.24392696854,0.12074231861,27.0462793686,-17.3137689045,1.56212546891,0.383928571429
BASELINE,Friday,251,1.21093632083,0.109079856246,27.3790439178,-26.9906285416,1.01439074958,0.354581673307
SESSION_FILTER,Monday,158,1.55546034866,0.238324341399,37.6552459411,-18.3331075321,2.05394780318,0.424050632911
SESSION_FILTER,Tuesday,144,1.10054133621,0.0458166055121,6.59759119374,-16.1409413786,0.408748847977,0.409722222222
SESSION_FILTER,Wednesday,157,1.03509985845,0.0182360509968,2.86306000649,-15.0869590115,0.189770516664,0.337579617834
SESSION_FILTER,Thursday,170,1.24461660422,0.126395340979,21.4872079664,-17.1641404044,1.25186624324,0.376470588235
SESSION_FILTER,Friday,185,1.49357039986,0.240431151783,44.4797630799,-19.9792927679,2.22629317247,0.378378378378
