variant,direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
BASELINE,LONG,648,1.08192120021,0.0400248368192,25.9360942588,-41.0900719269,0.631200994366,0.385802469136
BASELINE,SHORT,483,1.25752475466,0.127524132629,61.59415606,-30.1885447452,2.04031550973,0.360248447205
SESSION_FILTER,LONG,466,1.14980172924,0.0722144681906,33.6519421768,-33.2907953455,1.01084824882,0.388412017167
SESSION_FILTER,SHORT,348,1.47197087853,0.228249787387,79.4309260108,-20.3576605673,3.90177082225,0.379310344828
